Country,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
OCEANIA,"67,155","71,064","85,724","99,904","105,144","104,926","123,004","109,122","115,074","118,692","94,874","103,602","67,616","63,423","81,704","101,322","98,384","98,516","119,745","113,500","120,100","121,338","93,474","105,555","67,881","67,454","89,280","99,708","93,696","108,864","129,080","113,204","129,168","121,191","96,512","115,104","71,094","67,454","91,528","107,324","100,176","105,744","132,920","119,160","100,280","122,300","103,800","118,640","76,120","73,720","93,580","109,560","100,980","118,000","123,320","116,480","118,940","127,000","102,860","112,400","72,980","70,160","98,040","102,600","99,040","104,920","135,940","128,620","127,880","136,820","109,480","129,220","82,780","79,680","100,640","122,580","118,000","115,100","142,880"
Antarctica,0,27,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,27,31,0,58,0,0,0,0,0,0,26,0,29,0,34,29,34,0,0,0,0,0,0,0,60,0,20,60,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,60,0,20,40,0,0,0,0,0
"Samoa, American",0,0,87,84,0,0,168,0,27,28,52,31,32,27,84,0,22,66,81,50,50,81,54,124,33,0,60,56,72,72,28,26,52,0,0,99,68,87,34,84,24,24,0,20,40,40,20,40,40,40,60,0,80,60,80,60,40,0,60,20,100,40,60,20,60,40,100,160,40,20,0,60,60,0,100,40,20,20,0
Australia,"53,262","60,237","70,673","81,480","84,408","79,465","91,868","81,562","89,856","95,872","77,272","83,669","56,512","54,297","68,964","84,370","78,518","74,096","89,046","85,200","93,075","98,307","76,518","85,374","54,549","56,840","75,000","81,732","73,536","82,464","96,740","84,500","100,724","98,455","79,460","92,301","56,542","56,666","77,758","86,520","77,856","78,648","96,480","89,000","76,800","98,380","84,100","95,580","60,380","63,540","78,620","88,760","78,480","85,400","88,040","85,540","89,080","99,420","82,560","90,060","59,000","59,960","81,840","81,140","76,300","76,060","97,340","93,480","95,300","107,480","87,480","102,160","66,140","67,760","83,380","98,120","88,560","81,060","100,280"
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,"2,376","2,295","3,132","3,836","5,376","5,612","6,244","5,616","5,724","5,180","4,394","3,689","2,432","2,295","3,472","4,108","5,698","6,028","7,047","6,050","6,025","5,292","3,591","3,689","2,475","2,407","3,270","4,424","5,232","6,144","7,672","7,410","6,682","5,916","4,234","3,927","2,890","2,552","3,910","5,124","6,384","7,224","9,380","7,520","6,540","6,420","4,960","4,140","2,460","2,580","4,320","5,780","5,700","8,580","9,200","8,120","7,820","7,060","5,440","4,900","2,900","2,400","4,440","5,020","5,720","7,300","9,080","8,980","8,720","6,880","6,080","5,300","3,140","2,640","4,840","5,800","6,440","7,860","9,680"
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Fiji,"4,455","3,861","5,626","7,308","7,800","11,132","13,972","12,974","10,800","8,876","6,032","6,510","2,752","2,673","3,640","5,798","7,018","10,076","12,798","12,725","12,475","8,667","6,345","7,316","4,455","3,277","5,070","6,412","7,416","10,368","13,160","12,142","11,362","9,019","6,003","8,283","4,624","3,451","4,386","8,484","7,728","11,064","15,040","13,200","9,460","8,600","6,920","8,500","5,680","3,220","4,580","7,320","8,460","12,520","14,160","12,540","11,440","10,840","6,820","7,140","4,900","3,240","5,640","7,580","8,700","10,720","15,720","14,660","12,340","11,560","7,860","9,340","5,980","4,000","5,740","9,800","10,180","13,360","18,320"
"Micronesia, Federated States of",0,0,29,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,29,0,0,0,0,56,26,52,58,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,20,0
Guam,0,0,0,28,24,46,28,0,27,56,0,0,32,0,56,26,0,0,27,0,0,27,0,0,0,0,30,0,48,0,0,0,0,0,0,0,0,0,0,0,48,0,80,0,0,20,0,20,60,20,20,20,0,0,0,0,0,0,20,0,0,20,0,20,0,20,0,0,20,20,0,0,0,0,0,0,0,0,20
Kiribati,33,0,0,0,48,46,0,0,27,28,52,93,0,27,28,52,0,44,81,75,50,27,0,31,0,58,30,0,24,48,28,52,52,29,29,132,34,29,34,56,72,96,20,20,0,20,60,40,120,40,20,20,60,60,0,40,40,60,20,60,20,80,20,20,40,20,60,80,0,60,20,80,40,60,20,40,40,40,80
Marshall Islands,0,0,58,0,0,0,0,0,0,0,0,0,32,0,0,0,0,22,0,0,0,27,0,0,0,0,0,0,24,0,28,0,0,0,0,0,68,0,34,28,0,0,0,0,0,20,20,0,0,0,20,0,0,20,20,20,0,0,0,0,20,0,0,20,0,0,0,20,20,20,0,0,0,20,0,0,0,0,20
Northern Mariana Islands,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,"1,386",756,841,840,960,828,924,"1,066",513,"1,232",754,527,224,108,308,546,594,572,"1,350",925,675,837,486,341,198,174,270,"1,372",720,"1,464",868,494,702,493,377,825,986,232,340,532,912,912,940,620,320,620,600,580,"1,420",220,340,480,360,820,800,540,740,780,340,500,240,80,260,600,940,"1,200","1,020",560,960,760,520,480,340,160,420,600,"1,120","1,040","1,000"
Norfolk Island,429,540,522,672,480,483,504,364,405,728,468,310,320,324,504,390,506,198,189,350,325,648,378,217,264,261,300,364,408,192,252,286,234,406,232,297,306,232,306,308,576,120,240,260,380,400,320,260,260,220,240,320,360,200,320,200,420,340,380,380,200,300,320,480,400,400,300,400,440,360,360,420,280,300,480,340,440,460,400
Nauru,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,22,0,0,0,0,27,0,0,33,0,0,0,24,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,20,20,20,40,0,20,20,140,80,20,60,60,60,20,20,20,60
Niue,33,81,145,168,96,184,140,286,135,224,156,341,128,27,140,234,66,176,162,250,175,243,162,248,132,116,90,112,192,288,364,234,234,232,174,330,204,87,68,196,168,216,460,260,280,380,220,280,120,120,200,180,180,480,380,360,360,300,280,280,120,180,260,300,360,620,520,760,560,620,340,380,200,120,240,240,580,660,740
New Zealand,0,0,0,0,0,23,0,0,0,0,0,0,64,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,29,34,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
French Polynesia,165,162,377,588,312,483,560,468,540,532,260,310,96,189,140,260,286,594,567,350,500,189,297,310,132,261,240,196,312,360,644,442,650,319,348,330,204,232,102,392,480,480,680,420,320,380,380,280,240,260,300,480,600,840,620,660,720,620,440,580,240,220,400,380,540,600,920,520,580,480,500,440,120,220,420,400,520,800,960
Papua New Guinea,198,324,145,224,168,207,168,78,297,112,234,310,320,162,308,182,286,154,432,200,150,135,189,279,165,290,330,84,288,168,308,338,364,203,290,297,136,377,340,308,576,432,540,480,440,420,460,380,340,320,580,540,660,480,520,440,600,620,560,480,480,420,520,540,500,480,640,480,460,800,500,380,480,500,620,540,560,420,600
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,44,27,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,20,0,0,20,20,0,0,20,0,40
