Countries,2008,2009,2010,2011,2012,2013
OCEANIA,"1,198,285","1,184,677","1,231,142","1,240,420","1,272,960","1,315,700"
Antarctica,53,58,113,157,80,100
"Samoa, American",477,671,498,481,540,700
Australia,"949,624","944,277","976,301","974,330","989,880","1,017,540"
Cocos (Keeling) Islands,0,0,0,0,0,0
Cook Islands,"53,474","55,727","59,793","67,044","71,960","72,820"
Christmas Island,0,0,26,29,20,20
Fiji,"99,346","92,283","96,967","101,457","104,720","112,260"
"Micronesia, Federated States of",57,27,221,60,0,80
Guam,209,168,78,168,140,100
Kiribati,327,415,482,481,540,500
Marshall Islands,58,81,52,170,80,100
Northern Mariana Islands,23,71,0,0,0,0
New Caledonia,"10,627","6,966","7,957","7,594","7,340","7,620"
Norfolk Island,"5,905","4,349","3,496","3,708","3,640","4,380"
Nauru,31,49,86,0,40,400
Niue,"1,989","2,011","2,498","2,819","3,240","5,020"
New Zealand,23,108,50,163,0,0
French Polynesia,"4,757","3,778","4,234","4,350","6,360","5,820"
Papua New Guinea,"2,465","2,797","3,125","4,889","6,140","6,200"
Pitcairn,0,25,24,24,0,40
Palau,0,123,28,20,40,60
Solomon Islands,802,"1,151","1,390","1,522","1,380","1,760"
French Southern Territories,0,0,0,0,0,0
Tokelau,304,137,367,200,280,280
Tonga,"17,479","16,321","17,247","17,256","17,760","20,120"
Tuvalu,0,103,233,100,220,80
Vanuatu,"12,541","11,523","11,416","10,975","12,520","15,580"
Wallis and Futuna,26,25,0,0,20,60
Samoa,"37,688","41,433","44,460","42,423","46,020","44,060"
ASIA,"256,060","249,574","272,294","304,146","310,120","329,760"
Afghanistan,372,426,658,778,800,"1,040"
Armenia,0,0,0,24,60,0
Azerbaijan,0,192,74,20,160,80
Bangladesh,672,887,951,771,900,820
Brunei Darussalam,579,625,787,707,580,540
Bhutan,28,27,29,0,100,100
"China, People's Republic of","58,885","56,289","64,304","68,242","66,040","73,340"
Georgia,0,78,79,128,120,20
Hong Kong (Special Administrative Region),"19,859","17,106","17,261","17,882","18,220","18,000"
Indonesia,"11,812","12,401","14,992","17,200","19,660","25,100"
India,"27,646","28,964","30,953","35,312","38,580","40,760"
Japan,"19,394","18,954","20,153","16,437","20,040","21,840"
Kyrgyzstan,28,0,50,44,40,60
Cambodia,"2,799","3,501","3,588","3,942","4,020","4,540"
"Korea, Democratic People's Republic of",0,0,0,0,20,0
"Korea, Republic of","14,687","13,113","13,618","15,189","13,960","13,980"
Kazakhstan,96,179,209,323,240,200
Laos,387,608,447,571,800,700
Sri Lanka,"2,736","2,979","3,576","4,998","4,060","5,000"
Burma (Myanmar),198,198,295,384,760,820
Mongolia,152,106,165,164,280,460
Macau (Special Administrative Region),426,267,492,357,380,300
Maldives,475,213,222,525,320,560
Malaysia,"17,700","16,308","18,868","23,475","19,860","17,480"
Nepal,"1,183","1,002","1,326","1,403","1,540","1,860"
Philippines,"9,608","9,761","12,810","14,239","15,220","17,260"
Pakistan,"1,115","1,556","1,286","1,327","1,300","1,100"
Singapore,"14,507","13,808","14,815","20,144","17,120","18,300"
Thailand,"29,857","30,557","28,084","36,376","41,100","42,060"
Tajikistan,0,0,0,40,0,0
Timor-Leste,564,614,283,184,400,340
Turkmenistan,0,0,0,24,0,0
Taiwan,"10,283","10,094","11,464","10,709","10,460","10,300"
Uzbekistan,28,74,138,20,60,160
Viet Nam,"9,984","8,687","10,317","12,207","12,920","12,640"
EUROPE,"168,882","155,052","167,698","171,129","177,540","184,960"
Andorra,24,25,0,0,0,0
Albania,28,0,48,60,100,20
Austria,"1,614","1,496","2,292","1,866","2,540","2,120"
Bosnia and Herzegovina,28,98,81,136,40,120
Belgium,"1,181",833,772,760,"1,060","1,000"
Bulgaria,160,223,108,212,300,380
Belarus,28,22,28,132,20,60
Switzerland,"3,464","3,426","2,776","3,452","3,580","3,640"
Czechoslovakia,0,0,0,0,0,0
Cyprus,287,280,270,117,300,240
Czech Republic,838,804,959,770,"1,080","1,220"
"Germany, Democratic Republic of",0,0,0,0,0,0
Germany,"11,172","11,584","12,486","11,646","12,700","12,800"
Denmark,"1,083","1,072","1,325","1,207","1,180","1,340"
Estonia,83,54,182,44,100,100
Spain,"4,224","4,071","4,781","5,441","5,500","6,560"
Finland,588,427,491,657,640,460
