AU_CODE,AU_DESC,AG_E0_4,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_OVER,AGE_TOTAL,AGE_MEDIAN
500100,Awanui,24,18,33,39,21,18,6,18,30,21,24,24,27,36,339,36.1
500202,Karikari Peninsula-Maungataniwha,270,276,369,234,165,144,162,198,309,321,372,378,414,732,4344,45.8
500203,Taipa Bay-Mangonui,93,108,87,66,54,42,69,75,87,81,126,135,192,456,1665,52.9
500204,Herekino,138,183,180,138,87,66,90,111,135,147,180,162,138,267,2016,40.6
500205,Ahipara,72,87,90,63,48,54,27,57,75,90,90,90,78,153,1065,42.8
500206,North Cape,36,30,42,27,24,15,18,15,39,27,36,30,30,69,441,43.3
500207,Houhora,42,66,63,39,27,21,27,48,66,63,69,93,75,228,933,49.6
500208,Motutangi-Kareponia,138,147,162,111,75,75,69,99,108,111,165,135,135,261,1794,41.1
500301,Kaitaia West,273,258,252,255,153,159,132,135,183,183,159,180,156,618,3093,37.1
500302,Kaitaia East,135,180,147,132,117,90,87,84,114,114,138,108,81,276,1794,36.1
500401,Kaeo,36,30,39,30,27,15,9,18,27,27,33,30,30,96,456,41.5
500402,Mangapa-Matauri Bay,180,204,213,132,75,84,90,141,162,174,195,207,231,429,2517,44.3
500500,Kohukohu,12,15,15,6,3,3,3,12,9,9,12,18,21,36,168,49.2
500600,Rawene,33,45,36,27,12,18,18,18,21,33,30,33,45,96,471,46.3
500700,Omapere and Opononi,30,30,30,18,27,18,15,27,18,33,21,27,42,81,414,42.1
500801,Hokianga North,123,108,147,111,75,42,60,75,111,126,144,132,153,291,1689,44.8
500802,Hokianga South,171,195,216,171,114,96,78,117,162,195,249,207,192,408,2568,43.8
500900,Kerikeri,408,429,471,426,270,246,261,285,336,462,450,423,468,1572,6507,46.3
501000,Russell,27,33,36,27,21,27,24,27,33,54,51,72,84,201,720,54.8
501100,Paihia,90,72,66,66,90,105,81,87,99,114,120,159,147,417,1722,49
501200,Haruru Falls,69,39,45,45,36,36,33,51,51,57,63,69,69,198,867,46.6
