"id","incidence","cover","immigration","risk"
"Afghanistan",14.41743503772,82,169,2436.54652137469
"Albania",0,99,NA,NA
"Algeria",0.649654383867782,95,6,3.89792630320669
"Andorra",0,95,1,0
"Angola",409.346333029153,91,1,409.346333029153
"Antigua and Barbuda",0,99,NA,NA
"Argentina",0,85,539,0
"Armenia",3.36813742000674,97,1,3.36813742000674
"Australia",6.85466377440347,94,130703,895925.119305857
"Austria",NA,NA,586,NA
"Azerbaijan",17.6173595445268,98,7,123.321516811688
"Bahamas",0,92,1,0
"Bahrain",NA,99,19,NA
"Bangladesh",1.52903225806452,89,118,180.425806451613
"Barbados",NA,NA,2,NA
"Belarus",1.70122275385433,99,10,17.0122275385433
"Belgium",NA,92,540,NA
"Belize",0,99,NA,NA
"Benin",63.376778430007,87,NA,NA
"Bhutan",0,94,63,0
"Bolivia",0,83,10,0
"Bosnia and Herzegovina",NA,NA,NA,NA
"Botswana",0.499001996007984,93,4,1.99600798403194
"Brazil",1.06030150753769,99,2265,2401.58291457286
"Brunei Darussalam",NA,NA,41,NA
"Bulgaria",NA,NA,50,NA
"Burkina Faso",22.7825030376671,82,NA,NA
"Burundi",0,98,1,0
"Cabo Verde",0,91,NA,NA
"Cambodia",0,90,187,0
"Cameroon",35.0230414746544,83,2,70.0460829493088
"Canada",2.35375165049658,95,5013,11799.3570239394
"Central African Republic",131.71270718232,29,NA,NA
"Chad",18.1555269922879,79,NA,NA
"Chile",0,90,1157,0
"China",19.3402877697842,99,26380,510196.791366906
"Colombia",0.0209626027167533,92,280,5.86952876069093
"Comoros",0,82,NA,NA
"Congo",28.5911920682499,80,NA,NA
"Cook Islands",NA,97,NA,NA
"Costa Rica",0,91,24,0
"Cote d'Ivoire",2.41935483870968,85,NA,NA
"Croatia",0,94,28,0
"Cuba",NA,99,3,NA
"Cyprus",0,86,6,0
"Czech Republic",1.40712945590994,NA,253,356.003752345216
"Korea, Democratic People's Republic of",0,99,1,0
"Democratic Republic of the Congo",12.4191461836999,88,NA,NA
"Denmark",3.03679885673455,89,1605,4874.06216505895
"Djibouti",32.5581395348837,80,NA,NA
"Dominica",0,93,1,0
"Dominican Republic",0,83,1,0
"Ecuador",0,97,33,0
"Egypt",5.01721959317163,96,63,316.084834369812
"El Salvador",0,94,3,0
"Equatorial Guinea",436.141304347826,41,NA,NA
"Eritrea",7.33974881748491,75,12,88.076985809819
"Estonia",1.54918667699458,94,39,60.4182804027885
"Ethiopia",57.2665133163994,78,42,2405.19355928877
"Fiji",NA,96,6040,NA
"Finland",0.369822485207101,97,489,180.843195266272
"France",4.25418771603297,89,12173,51786.2270672693
"Gabon",74.7091243110839,70,NA,NA
"Gambia",0,94,NA,NA
"Georgia",1806.33318035796,97,NA,NA
"Germany",21.3888888888889,97,14793,316405.833333333
"Ghana",12.5758889852559,89,12,150.91066782307
"Greece",0.269662921348315,99,51,13.752808988764
"Grenada",0,98,NA,NA
"Guatemala",NA,NA,12,NA
"Guinea",4.62841673216313,90,1,4.62841673216313
"Guinea-Bissau",0,89,NA,NA
"Guyana",0,99,1,0
"Haiti",0,78,NA,NA
"Honduras",0,89,1,0
"Hungary",0.100240577385726,99,153,15.336808340016
"Iceland",0,91,78,0
"India",11.1467741935484,88,7013,78172.3274193548
"Indonesia",38.7206477732794,89,2580,99899.2712550607
"Iran (Islamic Republic of)",2.47304511671726,98,132,326.441955406679
"Iraq",20.4100311184331,77,97,1979.77301848801
"Ireland",NA,NA,1331,NA
"Israel",6.5410779696494,97,344,2250.13082155939
"Italy",NA,NA,997,NA
"Jamaica",0,94,15,0
"Japan",1.80314960629921,95,20534,37025.874015748
"Jordan",17.120844628335,97,48,821.80054216008
"Kazakhstan",4.48650974125745,99,80,358.920779300596
"Kenya",4.40038908703506,79,29,127.611283524017
"Kiribati",0,91,188,0
"Kuwait",NA,NA,126,NA
"Kyrgyzstan",0.182681768359518,99,1,0.182681768359518
"Lao People's Democratic Republic",10.6831176647608,82,38,405.958471260909
"Latvia",0,96,37,0
"Lebanon",378.954163976759,99,12,4547.44996772111
"Lesotho",251.461988304094,61,NA,NA
"Liberia",0,74,1,0
"Libyan Arab Jamahiriya",NA,NA,12,NA
"Lithuania",11.558784676354,93,28,323.645970937913
"Luxembourg",1.90839694656489,95,18,34.3511450381679
"Madagascar",0.269130707813762,86,NA,NA
"Malawi",18.3578523827486,88,19,348.799195272224
"Malaysia",6.66894664842681,97,5981,39886.9699042408
"Maldives",0,99,29,0
"Mali",14.8781473003905,72,NA,NA
"Malta",NA,99,27,NA
"Marshall Islands",NA,70,6,NA
"Mauritania",16.3329820864067,80,NA,NA
"Mauritius",0,99,52,0
"Mexico",0,89,426,0
"Micronesia, Federated States of",0,91,3,0
"Monaco",NA,NA,1,NA
"Mongolia",0,97,39,0
"Montenegro",NA,NA,NA,NA
"Morocco",2.82894129946804,99,1,2.82894129946804
"Mozambique",0.317422529064,85,2,0.634845058128001
"Myanmar",18.9594105725704,84,NA,NA
"Namibia",455.068614431164,82,12,5460.82337317397
"Nauru",NA,NA,29,NA
"Nepal",67.736769309165,88,126,8534.83293295479
"Netherlands",158.729209046308,96,2509,398251.585497188
"New Zealand",1.79372197309417,92,NA,NA
"Nicaragua",0,99,NA,NA
"Niger",71.3411435565658,92,NA,NA
"Nigeria",312.733727810651,73,45,14073.0177514793
"Niue",0,99,NA,NA
"Norway",1.60192230676812,93,594,951.541850220264
"Oman",0,99,103,0
"Pakistan",48.877094972067,61,411,20088.4860335196
"Palau",0,99,5,0
"Panama",NA,NA,4,NA
"Papua New Guinea",1.67434072833822,70,257,430.305567182922
"Paraguay",0,75,17,0
"Peru",0,85,45,0
"Philippines",30.1942982410787,90,3147,95021.4565646747
"Poland",NA,NA,205,NA
"Portugal",0.0943040362127499,98,149,14.0513013956997
"Qatar",35.5923939541687,99,65,2313.50560702096
"Korea, Republic of Korea",2.18353978327857,99,NA,NA
"Republic of Moldova",7.6835515082527,91,6,46.1013090495162
"Romania",50.6090553895656,92,71,3593.24293265916
"Russia",16.3566433566434,98,1068,17468.8951048951
"Rwanda",1.48367952522255,99,1,1.48367952522255
"Saint Kitts and Nevis",0,99,NA,NA
"Saint Lucia",0,99,2,0
"Saint Vincent and the Grenadines",0,99,NA,NA
"Samoa",NA,99,4047,NA
"San Marino",NA,74,NA,NA
"Sao Tome and Principe",0,91,NA,NA
"Saudi Arabia",NA,NA,1141,NA
"Senegal",1.23852542619846,84,2,2.47705085239691
"Serbia",0.104679158379567,92,28,2.93101643462787
"Seychelles",0,97,3,0
