"id","incidence","cover","immigration","risk"
"Afghanistan",14.41743503772,82,1040,14994.1324392288
"Albania",0,99,20,0
"Algeria",0.649654383867782,95,120,77.9585260641339
"Andorra",0,95,0,0
"Angola",409.346333029153,91,240,98243.1199269968
"Antigua and Barbuda",0,99,0,0
"Argentina",0,85,2620,0
"Armenia",3.36813742000674,97,0,0
"Australia",6.85466377440347,94,1017540,6974894.57700651
"Austria",NA,NA,2120,NA
"Azerbaijan",17.6173595445268,98,80,1409.38876356214
"Bahamas",0,92,80,0
"Bahrain",NA,99,200,NA
"Bangladesh",1.52903225806452,89,820,1253.8064516129
"Barbados",NA,NA,60,NA
"Belarus",1.70122275385433,99,60,102.07336523126
"Belgium",NA,92,1000,NA
"Belize",0,99,20,0
"Benin",63.376778430007,87,0,0
"Bhutan",0,94,100,0
"Bolivia",0,83,180,0
"Bosnia and Herzegovina",NA,NA,120,NA
"Botswana",0.499001996007984,93,420,209.580838323353
"Brazil",1.06030150753769,99,2980,3159.69849246231
"Brunei Darussalam",NA,NA,540,NA
"Bulgaria",NA,NA,380,NA
"Burkina Faso",22.7825030376671,82,0,0
"Burundi",0,98,60,0
"Cabo Verde",0,91,NA,NA
"Cambodia",0,90,4540,0
"Cameroon",35.0230414746544,83,0,0
"Canada",2.35375165049658,95,21720,51123.4858487858
"Central African Republic",131.71270718232,29,0,0
"Chad",18.1555269922879,79,20,363.110539845758
"Chile",0,90,2540,0
"China",19.3402877697842,99,73340,1418416.70503597
"Colombia",0.0209626027167533,92,680,14.2545698473923
"Comoros",0,82,0,0
"Congo",28.5911920682499,80,40,1143.64768273
"Cook Islands",NA,97,72820,NA
"Costa Rica",0,91,220,0
"Cote d'Ivoire",2.41935483870968,85,40,96.7741935483871
"Croatia",0,94,2060,0
"Cuba",NA,99,320,NA
"Cyprus",0,86,240,0
"Czech Republic",1.40712945590994,NA,1220,1716.69793621013
"Korea, Democratic People's Republic of",0,99,0,0
"Democratic Republic of the Congo",12.4191461836999,88,20,248.382923673997
"Denmark",3.03679885673455,89,1340,4069.31046802429
"Djibouti",32.5581395348837,80,0,0
"Dominica",0,93,0,0
"Dominican Republic",0,83,60,0
"Ecuador",0,97,420,0
"Egypt",5.01721959317163,96,780,3913.43128267387
"El Salvador",0,94,40,0
"Equatorial Guinea",436.141304347826,41,0,0
"Eritrea",7.33974881748491,75,20,146.794976349698
"Estonia",1.54918667699458,94,100,154.918667699458
"Ethiopia",57.2665133163994,78,340,19470.6145275758
"Fiji",NA,96,112260,NA
"Finland",0.369822485207101,97,460,170.118343195266
"France",4.25418771603297,89,15980,67981.9197022069
"Gabon",74.7091243110839,70,40,2988.36497244336
"Gambia",0,94,60,0
"Georgia",1806.33318035796,97,20,36126.6636071593
"Germany",21.3888888888889,97,12800,273777.777777778
"Ghana",12.5758889852559,89,140,1760.62445793582
"Greece",0.269662921348315,99,2480,668.76404494382
"Grenada",0,98,60,0
"Guatemala",NA,NA,120,NA
"Guinea",4.62841673216313,90,20,92.5683346432626
"Guinea-Bissau",0,89,0,0
"Guyana",0,99,20,0
"Haiti",0,78,0,0
"Honduras",0,89,20,0
"Hungary",0.100240577385726,99,860,86.2068965517241
"Iceland",0,91,200,0
"India",11.1467741935484,88,40760,454342.516129032
"Indonesia",38.7206477732794,89,25100,971888.259109312
"Iran (Islamic Republic of)",2.47304511671726,98,1080,2670.88872605464
"Iraq",20.4100311184331,77,680,13878.8211605345
"Ireland",NA,NA,6160,NA
"Israel",6.5410779696494,97,1360,8895.86603872318
"Italy",NA,NA,13620,NA
"Jamaica",0,94,60,0
"Japan",1.80314960629921,95,21840,39380.7874015748
"Jordan",17.120844628335,97,480,8218.0054216008
"Kazakhstan",4.48650974125745,99,200,897.30194825149
"Kenya",4.40038908703506,79,920,4048.35796007226
"Kiribati",0,91,500,0
"Kuwait",NA,NA,260,NA
"Kyrgyzstan",0.182681768359518,99,60,10.9609061015711
"Lao People's Democratic Republic",10.6831176647608,82,700,7478.18236533253
"Latvia",0,96,60,0
"Lebanon",378.954163976759,99,140,53053.5829567463
"Lesotho",251.461988304094,61,20,5029.23976608187
"Liberia",0,74,20,0
"Libyan Arab Jamahiriya",NA,NA,20,NA
"Lithuania",11.558784676354,93,100,1155.8784676354
"Luxembourg",1.90839694656489,95,20,38.1679389312977
"Madagascar",0.269130707813762,86,40,10.7652283125505
"Malawi",18.3578523827486,88,140,2570.09933358481
"Malaysia",6.66894664842681,97,17480,116573.187414501
"Maldives",0,99,560,0
"Mali",14.8781473003905,72,140,2082.94062205467
"Malta",NA,99,160,NA
"Marshall Islands",NA,70,100,NA
"Mauritania",16.3329820864067,80,0,0
"Mauritius",0,99,380,0
"Mexico",0,89,2360,0
"Micronesia, Federated States of",0,91,80,0
"Monaco",NA,NA,20,NA
"Mongolia",0,97,460,0
"Montenegro",NA,NA,40,NA
"Morocco",2.82894129946804,99,640,1810.52243165954
"Mozambique",0.317422529064,85,120,38.09070348768
"Myanmar",18.9594105725704,84,NA,NA
"Namibia",455.068614431164,82,320,145621.956617973
"Nauru",NA,NA,400,NA
"Nepal",67.736769309165,88,1860,125990.390915047
"Netherlands",158.729209046308,96,6260,993644.848629891
"New Zealand",1.79372197309417,92,0,0
"Nicaragua",0,99,40,0
"Niger",71.3411435565658,92,40,2853.64574226263
"Nigeria",312.733727810651,73,280,87565.4437869823
"Niue",0,99,5020,0
"Norway",1.60192230676812,93,1080,1730.07609130957
"Oman",0,99,640,0
"Pakistan",48.877094972067,61,1100,53764.8044692737
"Palau",0,99,60,0
"Panama",NA,NA,80,NA
"Papua New Guinea",1.67434072833822,70,6200,10380.9125156969
"Paraguay",0,75,20,0
"Peru",0,85,1520,0
"Philippines",30.1942982410787,90,17260,521153.587641019
"Poland",NA,NA,1180,NA
"Portugal",0.0943040362127499,98,900,84.8736325914749
"Qatar",35.5923939541687,99,460,16372.5012189176
"Korea, Republic of Korea",2.18353978327857,99,NA,NA
"Republic of Moldova",7.6835515082527,91,40,307.342060330108
"Romania",50.6090553895656,92,620,31377.6143415307
"Russia",16.3566433566434,98,2340,38274.5454545455
"Rwanda",1.48367952522255,99,120,178.041543026706
"Saint Kitts and Nevis",0,99,0,0
"Saint Lucia",0,99,40,0
"Saint Vincent and the Grenadines",0,99,0,0
"Samoa",NA,99,44060,NA
"San Marino",NA,74,0,NA
"Sao Tome and Principe",0,91,0,0
"Saudi Arabia",NA,NA,2360,NA
"Senegal",1.23852542619846,84,0,0
"Serbia",0.104679158379567,92,460,48.1524128546006
"Seychelles",0,97,80,0
"Sierra Leone",2.50878073256397,85,20,50.1756146512795
"Singapore",NA,NA,18300,NA
"Slovakia",0,98,320,0
"Slovenia",NA,NA,200,NA
"Solomon Islands",0,76,1760,0
"Somalia",311.230995586072,29,20,6224.61991172143
"South Africa",0.477226739968694,87,14000,6681.17435956171
"South Sudan",NA,55,80,NA
"Spain",2.88739172281039,95,6560,18941.2897016362
"Sri Lanka",99.8672859986729,99,5000,499336.429993364
"Sudan",75.6284446834252,85,60,4537.70668100551
"Sudan",259.549732422956,85,60,15572.9839453774
"Suriname",0,93,40,0
"Swaziland",0,97,60,0
"Sweden",5.36221217537588,97,2180,11689.6225423194
"Switzerland",21.8832062023259,NA,3640,79654.8705764662
"Syrian Arab Republic",33.8053905893102,83,0,0
"Tajikistan",0.124859533025346,92,0,0
"Thailand",39.5448079658606,99,42060,1663254.6230441
"The former Yugoslav Republic of Macedonia",1.89933523266857,96,280,531.813865147198
"Timor-Leste",3.59066427289048,70,340,1220.82585278276
"Togo",84.9013999698931,72,20,1698.02799939786
"Tonga",0,99,20120,0
"Trinidad and Tobago",NA,NA,100,NA
"Tunisia",1.47126436781609,94,40,58.8505747126437
"Turkey",100.071624525319,98,3420,342244.95587659
"Turkmenistan",0,99,0,0
"Tuvalu",0,98,80,0
"Uganda",216.750123810048,97,320,69360.0396192153
"Ukraine",NA,NA,460,NA
"United Arab Emirates",NA,NA,5020,NA
"United Kingdom",30.5655989678735,95,96680,2955082.10821401
"United Republic of Tanzania",3.87166984073834,99,700,2710.16888851684
"United States",0,91,142200,0
"Uruguay",0,96,320,0
"Uzbekistan",0,97,160,0
"Vanuatu",0,65,15580,0
"Venezuela",0,85,120,0
"Viet Nam",12.368386272523,98,12640,156336.402484691
"Yemen",16.7700821734026,78,20,335.401643468053
"Zambia",2.4866785079929,80,240,596.802841918295
"Zimbabwe",0,93,920,0
"American Samoa",NA,NA,700,NA
"Anguilla",NA,NA,0,NA
"Bermuda",NA,NA,100,NA
"British Indian Ocean Territory",NA,NA,0,NA
"Cape Verde",NA,NA,0,NA
"Cayman Islands",NA,NA,100,NA
"Democratic Republic of Congo",NA,NA,NA,NA
"Gibraltar",NA,NA,0,NA
"Guam",NA,NA,100,NA
"Hong Kong",NA,NA,18000,NA
"Kosovo - Republic of",NA,NA,NA,NA
"Liechtenstein",NA,NA,0,NA
"Macau",NA,NA,300,NA
"Macedonia",NA,NA,NA,NA
"Martinique",NA,NA,0,NA
"Burma",NA,NA,820,NA
"Netherlands Antilles",NA,NA,0,NA
"Palestine",NA,NA,20,NA
"Puerto Rico",NA,NA,40,NA
"Reunion",NA,NA,0,NA
"Korea, Republic of",NA,NA,13980,NA
"Taiwan",NA,NA,10300,NA
"Tanzania",NA,NA,NA,NA
"Tokelau",NA,NA,280,NA
"United Nations",NA,NA,NA,NA
"Holy See (Vatican City)",NA,NA,0,NA
"United States Virgin Islands",NA,NA,0,NA
"Antarctica",NA,NA,100,NA
"Aruba",NA,NA,0,NA
"Christmas Island",NA,NA,20,NA
"Cocos (Keeling) Islands",NA,NA,0,NA
