"id","incidence","cover","immigration","risk"
"Afghanistan",14.41743503772,82,1209,17430.6789606035
"Albania",0,99,NA,NA
"Algeria",0.649654383867782,95,126,81.8564523673406
"Andorra",0,95,1,0
"Angola",409.346333029153,91,241,98652.4662600259
"Antigua and Barbuda",0,99,NA,NA
"Argentina",0,85,3159,0
"Armenia",3.36813742000674,97,1,3.36813742000674
"Australia",6.85466377440347,94,1148243,7870819.69631236
"Austria",NA,NA,2706,NA
"Azerbaijan",17.6173595445268,98,87,1532.71028037383
"Bahamas",0,92,81,0
"Bahrain",NA,99,219,NA
"Bangladesh",1.52903225806452,89,938,1434.23225806452
"Barbados",NA,NA,62,NA
"Belarus",1.70122275385433,99,70,119.085592769803
"Belgium",NA,92,1540,NA
"Belize",0,99,NA,NA
"Benin",63.376778430007,87,NA,NA
"Bhutan",0,94,163,0
"Bolivia",0,83,190,0
"Bosnia and Herzegovina",NA,NA,NA,NA
"Botswana",0.499001996007984,93,424,211.576846307385
"Brazil",1.06030150753769,99,5245,5561.28140703518
"Brunei Darussalam",NA,NA,581,NA
"Bulgaria",NA,NA,430,NA
"Burkina Faso",22.7825030376671,82,NA,NA
"Burundi",0,98,61,0
"Cabo Verde",0,91,NA,NA
"Cambodia",0,90,4727,0
"Cameroon",35.0230414746544,83,2,70.0460829493088
"Canada",2.35375165049658,95,26733,62922.8428727252
"Central African Republic",131.71270718232,29,NA,NA
"Chad",18.1555269922879,79,NA,NA
"Chile",0,90,3697,0
"China",19.3402877697842,99,99720,1928613.49640288
"Colombia",0.0209626027167533,92,960,20.1240986080832
"Comoros",0,82,NA,NA
"Congo",28.5911920682499,80,NA,NA
"Cook Islands",NA,97,NA,NA
"Costa Rica",0,91,244,0
"Cote d'Ivoire",2.41935483870968,85,NA,NA
"Croatia",0,94,2088,0
"Cuba",NA,99,323,NA
"Cyprus",0,86,246,0
"Czech Republic",1.40712945590994,NA,1473,2072.70168855535
"Korea, Democratic People's Republic of",0,99,1,0
"Democratic Republic of the Congo",12.4191461836999,88,NA,NA
"Denmark",3.03679885673455,89,2945,8943.37263308325
"Djibouti",32.5581395348837,80,NA,NA
"Dominica",0,93,1,0
"Dominican Republic",0,83,61,0
"Ecuador",0,97,453,0
"Egypt",5.01721959317163,96,843,4229.51611704368
"El Salvador",0,94,43,0
"Equatorial Guinea",436.141304347826,41,NA,NA
"Eritrea",7.33974881748491,75,32,234.871962159517
"Estonia",1.54918667699458,94,139,215.336948102246
"Ethiopia",57.2665133163994,78,382,21875.8080868646
"Fiji",NA,96,118300,NA
"Finland",0.369822485207101,97,949,350.961538461538
"France",4.25418771603297,89,28153,119768.146769476
"Gabon",74.7091243110839,70,NA,NA
"Gambia",0,94,NA,NA
"Georgia",1806.33318035796,97,NA,NA
"Germany",21.3888888888889,97,27593,590183.611111111
"Ghana",12.5758889852559,89,152,1911.53512575889
"Greece",0.269662921348315,99,2531,682.516853932584
"Grenada",0,98,NA,NA
"Guatemala",NA,NA,132,NA
"Guinea",4.62841673216313,90,21,97.1967513754257
"Guinea-Bissau",0,89,NA,NA
"Guyana",0,99,21,0
"Haiti",0,78,NA,NA
"Honduras",0,89,21,0
"Hungary",0.100240577385726,99,1013,101.54370489174
"Iceland",0,91,278,0
"India",11.1467741935484,88,47773,532514.843548387
"Indonesia",38.7206477732794,89,27680,1071787.53036437
"Iran (Islamic Republic of)",2.47304511671726,98,1212,2997.33068146132
"Iraq",20.4100311184331,77,777,15858.5941790225
"Ireland",NA,NA,7491,NA
"Israel",6.5410779696494,97,1704,11145.9968602826
"Italy",NA,NA,14617,NA
"Jamaica",0,94,75,0
"Japan",1.80314960629921,95,42374,76406.6614173228
"Jordan",17.120844628335,97,528,9039.80596376088
"Kazakhstan",4.48650974125745,99,280,1256.22272755209
"Kenya",4.40038908703506,79,949,4175.96924359628
"Kiribati",0,91,688,0
"Kuwait",NA,NA,386,NA
"Kyrgyzstan",0.182681768359518,99,61,11.1435878699306
"Lao People's Democratic Republic",10.6831176647608,82,738,7884.14083659344
"Latvia",0,96,97,0
"Lebanon",378.954163976759,99,152,57601.0329244674
"Lesotho",251.461988304094,61,NA,NA
"Liberia",0,74,21,0
"Libyan Arab Jamahiriya",NA,NA,32,NA
"Lithuania",11.558784676354,93,128,1479.52443857332
"Luxembourg",1.90839694656489,95,38,72.5190839694656
"Madagascar",0.269130707813762,86,NA,NA
"Malawi",18.3578523827486,88,159,2918.89852885704
"Malaysia",6.66894664842681,97,23461,156460.157318741
"Maldives",0,99,589,0
"Mali",14.8781473003905,72,NA,NA
"Malta",NA,99,187,NA
"Marshall Islands",NA,70,106,NA
"Mauritania",16.3329820864067,80,NA,NA
"Mauritius",0,99,432,0
"Mexico",0,89,2786,0
"Micronesia, Federated States of",0,91,83,0
"Monaco",NA,NA,21,NA
"Mongolia",0,97,499,0
"Montenegro",NA,NA,NA,NA
"Morocco",2.82894129946804,99,641,1813.35137295901
"Mozambique",0.317422529064,85,122,38.725548545808
"Myanmar",18.9594105725704,84,NA,NA
"Namibia",455.068614431164,82,332,151082.779991147
"Nauru",NA,NA,429,NA
"Nepal",67.736769309165,88,1986,134525.223848002
"Netherlands",158.729209046308,96,8769,1391896.43412708
"New Zealand",1.79372197309417,92,NA,NA
"Nicaragua",0,99,NA,NA
"Niger",71.3411435565658,92,NA,NA
"Nigeria",312.733727810651,73,325,101638.461538462
"Niue",0,99,NA,NA
"Norway",1.60192230676812,93,1674,2681.61794152984
"Oman",0,99,743,0
"Pakistan",48.877094972067,61,1511,73853.2905027933
"Palau",0,99,65,0
"Panama",NA,NA,84,NA
"Papua New Guinea",1.67434072833822,70,6457,10811.2180828799
"Paraguay",0,75,37,0
"Peru",0,85,1565,0
"Philippines",30.1942982410787,90,20407,616175.044205693
"Poland",NA,NA,1385,NA
"Portugal",0.0943040362127499,98,1049,98.9249339871747
"Qatar",35.5923939541687,99,525,18686.0068259386
"Korea, Republic of Korea",2.18353978327857,99,NA,NA
"Republic of Moldova",7.6835515082527,91,46,353.443369379624
"Romania",50.6090553895656,92,691,34970.8572741898
"Russia",16.3566433566434,98,3408,55743.4405594406
"Rwanda",1.48367952522255,99,121,179.525222551929
"Saint Kitts and Nevis",0,99,NA,NA
"Saint Lucia",0,99,42,0
"Saint Vincent and the Grenadines",0,99,NA,NA
"Samoa",NA,99,48107,NA
"San Marino",NA,74,NA,NA
"Sao Tome and Principe",0,91,NA,NA
"Saudi Arabia",NA,NA,3501,NA
"Senegal",1.23852542619846,84,2,2.47705085239691
"Serbia",0.104679158379567,92,488,51.0834292892285
"Seychelles",0,97,83,0
"Sierra Leone",2.50878073256397,85,NA,NA
"Singapore",NA,NA,23187,NA
"Slovakia",0,98,383,0
"Slovenia",NA,NA,265,NA
"Solomon Islands",0,76,1890,0
"Somalia",311.230995586072,29,33,10270.6228543404
"South Africa",0.477226739968694,87,17763,8476.97858206391
"South Sudan",NA,55,NA,NA
"Spain",2.88739172281039,95,7118,20552.4542829644
"Sri Lanka",99.8672859986729,99,5764,575635.03649635
"Sudan",75.6284446834252,85,81,6125.90401935744
"Sudan",259.549732422956,85,81,21023.5283262595
"Suriname",0,93,NA,NA
"Swaziland",0,97,62,0
"Sweden",5.36221217537588,97,4042,21674.0616128693
"Switzerland",21.8832062023259,NA,5016,109766.162310867
"Syrian Arab Republic",33.8053905893102,83,10,338.053905893102
"Tajikistan",0.124859533025346,92,NA,NA
"Thailand",39.5448079658606,99,47293,1870192.60312944
"The former Yugoslav Republic of Macedonia",1.89933523266857,96,NA,NA
"Timor-Leste",3.59066427289048,70,352,1263.91382405745
"Togo",84.9013999698931,72,NA,NA
"Tonga",0,99,23597,0
"Trinidad and Tobago",NA,NA,111,NA
"Tunisia",1.47126436781609,94,NA,NA
"Turkey",100.071624525319,98,3502,350450.829087666
"Turkmenistan",0,99,NA,NA
"Tuvalu",0,98,224,0
"Uganda",216.750123810048,97,325,70443.7902382656
"Ukraine",NA,NA,557,NA
"United Arab Emirates",NA,NA,5149,NA
"United Kingdom",30.5655989678735,95,121835,3723959.75025086
"United Republic of Tanzania",3.87166984073834,99,NA,NA
"United States",0,91,162447,0
"Uruguay",0,96,406,0
"Uzbekistan",0,97,165,0
"Vanuatu",0,65,15748,0
"Venezuela",0,85,160,0
"Viet Nam",12.368386272523,98,13680,169199.524208115
"Yemen",16.7700821734026,78,23,385.711889988261
"Zambia",2.4866785079929,80,259,644.04973357016
"Zimbabwe",0,93,1087,0
"American Samoa",NA,NA,745,NA
"Anguilla",NA,NA,NA,NA
"Bermuda",NA,NA,103,NA
"British Indian Ocean Territory",NA,NA,NA,NA
"Cape Verde",NA,NA,NA,NA
"Cayman Islands",NA,NA,NA,NA
"Democratic Republic of Congo",NA,NA,NA,NA
"Gibraltar",NA,NA,NA,NA
"Guam",NA,NA,NA,NA
"Hong Kong",NA,NA,21281,NA
"Kosovo - Republic of",NA,NA,NA,NA
"Liechtenstein",NA,NA,6,NA
"Macau",NA,NA,403,NA
"Macedonia",NA,NA,NA,NA
"Martinique",NA,NA,NA,NA
"Burma",NA,NA,983,NA
"Netherlands Antilles",NA,NA,NA,NA
"Palestine",NA,NA,48,NA
"Puerto Rico",NA,NA,NA,NA
"Reunion",NA,NA,NA,NA
"Korea, Republic of",NA,NA,24378,NA
"Taiwan",NA,NA,13215,NA
"Tanzania",NA,NA,NA,NA
"Tokelau",NA,NA,NA,NA
"United Nations",NA,NA,NA,NA
"Holy See (Vatican City)",NA,NA,NA,NA
"United States Virgin Islands",NA,NA,NA,NA
"Antarctica",NA,NA,NA,NA
"Aruba",NA,NA,NA,NA
"Christmas Island",NA,NA,NA,NA
"Cocos (Keeling) Islands",NA,NA,NA,NA
"Curacao",NA,NA,NA,NA
"Czechoslovakia",NA,NA,NA,NA
"Faroe Islands",NA,NA,NA,NA
"Falkland Islands (Malvinas)",NA,NA,NA,NA
"French Guiana",NA,NA,NA,NA
"French Polynesia",NA,NA,NA,NA
"French Southern and Antarctic Lands",NA,NA,NA,NA
"Germany, Democratic Republic of",NA,NA,NA,NA
"Greenland",NA,NA,NA,NA
"Guadeloupe",NA,NA,NA,NA
"Kosovo",NA,NA,NA,NA
"Mayotte",NA,NA,NA,NA
"Montserrat",NA,NA,NA,NA
"New Caledonia",NA,NA,NA,NA
"Norfolk Island",NA,NA,NA,NA
"Northern Mariana Islands",NA,NA,NA,NA
"Pitcairn",NA,NA,NA,NA
"South Georgia South Sandwich Islands",NA,NA,NA,NA
"Saint Helena",NA,NA,NA,NA
"Saint Martin",NA,NA,NA,NA
"Saint Pierre and Miquelon",NA,NA,NA,NA
"Turks and Caicos Islands",NA,NA,NA,NA
"Union of Soviet Socialist Republics",NA,NA,NA,NA
"United States Minor Outlying Islands",NA,NA,NA,NA
"British Virgin Islands",NA,NA,NA,NA
"Wallis and Futuna Islands",NA,NA,NA,NA
"Western Sahara",NA,NA,NA,NA
"Yemen, Democratic",NA,NA,NA,NA
"Yugoslavia/Serbia and Montenegro",NA,NA,NA,NA
