Age_Var,Age_Level,Age_Label,Eth_Var,Eth_Level,Eth_Label,Sex_code,Sex_Label,DepMissing,Dep1,Dep2,Dep3,Dep4,Dep5,Dep6,Dep7,Dep8,Dep9,Dep10,Total
AgeGroup A,100,A: 0- 5 yrs,EthTotal,11,Maori (Total),1,Male,6,1275,1767,1953,2442,2859,3489,4131,5301,7167,10746,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,11,Maori (Total),2,Female,6,1293,1617,1893,2277,2634,3405,3900,5043,6945,10077,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,11,Maori (Total),99,Both Sexes,9,2565,3384,3846,4722,5490,6891,8031,10344,14115,20823,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,12,Pacific People (Total),1,Male,,342,480,591,759,984,1311,1710,2970,4584,7809,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,12,Pacific People (Total),2,Female,,366,441,543,777,858,1326,1632,2778,4197,7473,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,12,Pacific People (Total),99,Both Sexes,,708,921,1134,1539,1842,2637,3339,5745,8781,15282,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,14,Asian (Total),1,Male,,1197,1161,1389,1431,1560,1650,1653,1818,1686,1362,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,14,Asian (Total),2,Female,,1128,1101,1290,1389,1440,1521,1581,1797,1491,1230,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,14,Asian (Total),99,Both Sexes,,2325,2262,2679,2823,3000,3171,3234,3612,3177,2592,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,15,NonMaoriNonPacNonAs,1,Male,12,13281,12399,11520,11064,10029,9246,8415,7278,5844,3843,
AgeGroup A,100,A: 0- 5 yrs,EthTotal,15,NonMaoriNonPacNonAs,2,Female,9,12801,11895,11115,10659,9690,8976,7926,6846,5829,3753,
