Countries,2008,2009,2010,2011,2012,2013
Afghanistan,372,426,658,778,800,1040
Albania,28,0,48,60,100,20
Algeria,0,27,74,136,20,120
Andorra,24,25,0,0,0,0
Angola,56,148,87,64,160,240
Anguilla,0,0,0,0,20,0
Antarctica,53,58,113,157,80,100
Antigua and Barbuda,0,82,59,48,20,0
Argentina,2429,4143,4168,3249,3120,2620
Armenia,0,0,0,24,60,0
Aruba,0,0,0,20,0,0
ASIA,256060,249574,272294,304146,310120,329760
Australia,949624,944277,976301,974330,989880,1017540
Austria,1614,1496,2292,1866,2540,2120
Azerbaijan,0,192,74,20,160,80
Bahamas,0,148,123,100,20,80
Bahrain,384,481,392,188,300,200
Bangladesh,672,887,951,771,900,820
Barbados,133,134,144,88,100,60
Belarus,28,22,28,132,20,60
Belgium,1181,833,772,760,1060,1000
Belize,33,0,0,0,80,20
Benin,0,0,0,0,0,0
Bermuda,130,49,48,112,80,100
Bhutan,28,27,29,0,100,100
Bolivia,112,197,79,166,200,180
Bosnia and Herzegovina,28,98,81,136,40,120
Botswana,206,178,195,174,220,420
Brazil,2767,3197,3059,3214,3100,2980
British Indian Ocean Territory,0,0,0,0,0,0
Brunei Darussalam,579,625,787,707,580,540
Bulgaria,160,223,108,212,300,380
Burkina Faso,0,0,29,0,40,0
Burma (Myanmar),198,198,295,384,760,820
Burundi,0,0,50,0,20,60
Cambodia,2799,3501,3588,3942,4020,4540
Cameroon,23,0,0,0,20,0
Canada,20408,19395,19149,19169,20400,21720
Cape Verde,0,0,0,0,20,0
Cayman Islands,82,122,66,170,80,100
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,28,20,20
Chile,2358,2686,2357,2219,2520,2540
"China, People's Republic of",58885,56289,64304,68242,66040,73340
Christmas Island,0,0,26,29,20,20
Cocos (Keeling) Islands,0,0,0,0,0,0
Colombia,275,444,573,484,440,680
Comoros,0,0,29,0,0,0
Congo,33,0,57,0,20,40
"Congo, the Democratic Republic of the",24,0,0,20,40,20
Cook Islands,53474,55727,59793,67044,71960,72820
Costa Rica,356,155,91,294,260,220
Cote d'Ivoire,0,0,74,0,60,40
Croatia,1673,1383,1389,1212,2240,2060
Cuba,276,247,187,290,300,320
Curacao,0,0,0,0,0,20
Cyprus,287,280,270,117,300,240
Czech Republic,838,804,959,770,1080,1220
Czechoslovakia,0,0,0,0,0,0
Denmark,1083,1072,1325,1207,1180,1340
Djibouti,0,0,0,63,0,0
Dominica,0,0,0,0,0,0
Dominican Republic,80,0,0,108,40,60
Ecuador,399,315,337,343,420,420
Egypt,2589,1921,2313,676,1120,780
El Salvador,28,25,0,113,40,40
Equatorial Guinea,26,22,0,0,0,0
Eritrea,33,0,33,20,0,20
Estonia,83,54,182,44,100,100
Ethiopia,179,165,281,331,320,340
Faeroe Islands,0,0,0,24,0,20
Falkland Islands,75,22,29,54,0,60
Fiji,99346,92283,96967,101457,104720,112260
Finland,588,427,491,657,640,460
Former Yugoslav Republic of Macedonia (FYROM),167,134,111,108,200,280
France,14610,12211,13764,13651,14500,15980
French Guiana,0,0,28,0,0,0
French Polynesia,4757,3778,4234,4350,6360,5820
French Southern Territories,0,0,0,0,0,0
Gabon,28,0,58,77,40,40
Gambia,0,22,28,0,20,60
Gaza Strip/Palestine/West Bank,0,31,0,0,40,20
Georgia,0,78,79,128,120,20
Germany,11172,11584,12486,11646,12700,12800
"Germany, Democratic Republic of",0,0,0,0,0,0
Ghana,165,213,172,122,240,140
Gibraltar,0,0,81,0,0,0
Greece,2407,1882,2559,2080,2160,2480
Greenland,0,0,0,20,20,20
Grenada,0,0,24,0,20,60
Guadeloupe,0,27,0,0,40,0
Guam,209,168,78,168,140,100
Guatemala,49,50,79,84,140,120
Guinea,26,0,0,0,20,20
Guinea-Bissau,0,0,0,0,0,0
Guyana,26,0,0,49,20,20
Haiti,0,55,82,54,40,0
Honduras,0,0,0,0,20,20
Hong Kong (Special Administrative Region),19859,17106,17261,17882,18220,18000
Hungary,522,556,599,641,680,860
