"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Awanui",24,18,33,39,21,18,6,18,30,21,24,24,27,36,339,26.598,31.902,16.506,15.552,5.52,16.56,27.6,19.32,26.316,23.76,26.73,35.64,272.004,297,0.915838383838384
"Karikari Peninsula-Maungataniwha",270,276,369,234,165,144,162,198,309,321,372,378,414,732,4344,297.414,191.412,129.69,124.416,149.04,182.16,284.28,295.32,351.468,374.22,409.86,724.68,3513.96,3798,0.92521327014218
"Taipa Bay-Mangonui",93,108,87,66,54,42,69,75,87,81,126,135,192,456,1665,70.122,53.988,42.444,36.288,63.48,69,80.04,74.52,104.004,133.65,190.08,451.44,1369.056,1470,0.931330612244898
"Herekino",138,183,180,138,87,66,90,111,135,147,180,162,138,267,2016,145.08,112.884,68.382,57.024,82.8,102.12,124.2,135.24,170.64,160.38,136.62,264.33,1559.7,1701,0.916931216931217
"Ahipara",72,87,90,63,48,54,27,57,75,90,90,90,78,153,1065,72.54,51.534,37.728,46.656,24.84,52.44,69,82.8,85.32,89.1,77.22,151.47,840.648,915,0.918740983606558
"North Cape",36,30,42,27,24,15,18,15,39,27,36,30,30,69,441,33.852,22.086,18.864,12.96,16.56,13.8,35.88,24.84,36.504,29.7,29.7,68.31,343.056,372,0.922193548387097
"Houhora",42,66,63,39,27,21,27,48,66,63,69,93,75,228,933,50.778,31.902,21.222,18.144,24.84,44.16,60.72,57.96,63.036,92.07,74.25,225.72,764.802,819,0.933824175824176
"Motutangi-Kareponia",138,147,162,111,75,75,69,99,108,111,165,135,135,261,1794,130.572,90.798,58.95,64.8,63.48,91.08,99.36,102.12,155.232,133.65,133.65,258.39,1382.082,1506,0.917717131474103
"Kaitaia West",273,258,252,255,153,159,132,135,183,183,159,180,156,618,3093,203.112,208.59,120.258,137.376,121.44,124.2,168.36,168.36,187.56,178.2,154.44,611.82,2383.716,2565,0.929323976608187
"Kaitaia East",135,180,147,132,117,90,87,84,114,114,138,108,81,276,1794,118.482,107.976,91.962,77.76,80.04,77.28,104.88,104.88,134.388,106.92,80.19,273.24,1357.998,1488,0.912633064516129
"Kaeo",36,30,39,30,27,15,9,18,27,27,33,30,30,96,456,31.434,24.54,21.222,12.96,8.28,16.56,24.84,24.84,33.66,29.7,29.7,95.04,352.776,381,0.92592125984252
