"Year","Numeric.Value","rev(testinct)","change"
1990,5290600,951057,0.000179763542887385
1991,5380403,901842,0.000167616068907849
1992,5470685,857280,0.000156704324961134
1993,5548862,799681,0.00014411621698287
1994,5628632,630744,0.000112059910827356
1995,5707831,388026,6.79813400221555e-05
1996,5793378,552310,9.53347080062789e-05
1997,5864388,516594,8.80900104154091e-05
1998,5944558,470964,7.92260753448785e-05
1999,6024114,518804,8.61212121815756e-05
2000,6096466,550745,9.03384026089869e-05
2001,6176764,586586,9.49665553030681e-05
2002,6247932,321967,5.1531770832333e-05
2003,6320925,448158,7.0900698869232e-05
2004,6402653,330409,5.16050143588915e-05
2005,6488029,374052,5.76526399619977e-05
2006,6552069,220621,3.36719591933479e-05
2007,6638751,201342,3.03282951868507e-05
2008,6724021,229883,3.41883227312943e-05
2009,6801739,171280,2.51817954202594e-05
2010,6887816,167667,2.43425492202463e-05
2011,6964186,132956,1.90913912982795e-05
2012,7053835,100412,1.42350933924596e-05
