DHB,Vaccines,Vac costs,Wage loss,Management,Hospitalised,Contact wage loss,Costs,Outbreak,OB costs,Benefit/cost
Auckland,17920,358400,26546458.8,55634144.56,9942525.31,81779020.98,152792322.9,82,4020979.645,34.9
Bay of Plenty,4585,91700,7188050.737,15064195.82,2692162.33,22143509.1,41371957.64,71,3481579.936,11.6
Canterbury,13687,273740,21039340.16,44092724.41,7879927.55,64813791.3,121095234.5,62,3040252.902,36.5
Capital and Coast,10461,209220,15678759.95,32858408.88,5872213.27,48299987.91,90241571.22,96,4707488.364,18.4
Counties Manukau,18880,377600,28032290.32,58748042.57,10499018.27,86356273.55,161344260.1,50,2451816.857,57
Hawke's Bay,3751,75020,5832570.267,12223478.09,2184490.14,17967815.97,33570276.4,56,2746034.879,11.9
Hutt Valley,4388,87760,6676018.202,13991115.14,2500389.24,20566141.67,38424873.78,86,4217124.993,8.9
Lakes,2886,57720,4423415.838,9270274.353,1656715.28,13626774.83,25459666.24,62,3040252.902,8.2
MidCentral,4628,92560,7112225.619,14905287.04,2663763.32,21909922.24,40935534.24,75,3677725.285,10.9
Nelson Marlborough,2356,47120,3758029.134,7875805.118,1407505.99,11576984.55,21629928.31,90,4413270.342,4.8
Northland,3071,61420,4845991.773,10155878.37,1814983.92,14928562.26,27891868.56,70,3432543.599,8
South Canterbury,893,17860,1429601.652,2996055.54,535433.02,4404030.849,8228297.37,72,3530616.273,2.3
Southern,8371,167420,12877490.45,26987711.26,4823045.35,39670397.07,74118423.57,102,5001706.387,14.3
Tairawhiti,1359,27180,2071133.263,4340531,775707.79,6380333.13,11920733.56,47,2304707.845,5.1
Taranaki,2899,57980,4483053.571,9395258.791,1679051.58,13810494.83,25802920.6,68,3334470.925,7.6
Waikato,11331,226620,17250640.19,36152641.58,6460934.32,53142322.18,99288775.42,95,4658452.027,20.3
Wairarapa,720,14400,1146748.405,2403272.203,429495.14,3532673.136,6600290.978,59,2893143.891,2.3
Waitemata,17291,345820,26218451.27,54946730.15,9819675.66,80768560.99,150904423.9,70,3432543.599,39.9
West Coast,685,13700,1077739.028,2258647.353,403648.85,3320082.851,6203096.647,50,2451816.857,2.5
Whanganui,1378,27560,2155478.057,4517294.706,807297.7,6640165.701,12406193.29,58,2844107.554,4.3
