DHB,Vacc,Total vaccine costs,Case wage loss,Management,Hospitalisation costs,Wage loss for contacts,Total discounted costs,Outbreak size post vaccination,Total discounted costs,Benefit/cost
Auckland,17583,879150,26132561,55634145,9942525,81779020.98,152428668,82,4011409,31.17
Bay of Plenty,4417,220850,7075979,15064196,2692162,22143509.1,41273489.91,71,3473294,11.17
Canterbury,13325,666250,20711307,44092724,7879928,64813791.3,120807020.7,62,3033017,32.66
Capital and Coast,10242,512100,15434306,32858409,5872213,48299987.91,90026790.9,96,4696284,17.28
Counties Manukau,18421,921050,27595227,58748043,10499018,86356273.55,160960251.1,50,2445981,47.80
Hawke's Bay,3619,180950,5741632,12223478,2184490,17967815.97,33490377.14,56,2739499,11.47
Hutt Valley,4267,213350,6571929,13991115,2500389,20566141.67,38333420.28,86,4207088,8.67
Lakes,2798,139900,4354448,9270274,1656715,13626774.83,25399070.71,62,3033017,8.00
MidCentral,4496,224800,7001336,14905287,2663763,21909922.24,40838105.22,75,3668972,10.49
Nelson Marlborough,2257,112850,3699436,7875805,1407506,11576984.55,21578447.79,90,4402766,4.78
Northland,2942,147100,4770436,10155878,1814984,14928562.26,27825484.25,70,3424374,7.79
South Canterbury,854,42700,1407312,2996056,535433,4404030.849,8208713.532,72,3522213,2.30
Southern,8153,407650,12676712,26987711,4823045,39670397.07,73942017.3,102,4989802,13.70
Tairawhiti,1317,65850,2038841,4340531,775708,6380333.13,11892361.5,47,2299223,5.03
Taranaki,2804,140200,4413156,9395259,1679052,13810494.83,25741508.11,68,3326535,7.43
Waikato,11016,550800,16981678,36152642,6460934,53142322.18,99052462.22,95,4647365,19.06
Wairarapa,689,34450,1128869,2403272,429495,3532673.136,6584581.892,59,2886258,2.25
Waitemata,16845,842250,25809668,54946730,9819676,80768560.99,150545262.4,70,3424374,35.28
West Coast,660,33000,1060936,2258647,403649,3320082.851,6188332.907,50,2445981,2.50
Whanganui,1328,66400,2121871,4517295,807298,6640165.701,12376665.81,58,2837338,4.26
