Age,Northland,Waitemata,Auckland,CountiesManukau,Waikato,Lakes,BayofPlenty,Tairawhiti,Taranaki,HawkesBay,Whanganui,Midcentral,Hutt,CapitalandCoast,Wairarapa,NelsonMarlborough,WestCoast,Canterbury,SouthCanterbury,Southern
0–4 Years,10659,37173,28074,38316,26256,7326,14001,3468,7884,10908,4173,10944,9951,18279,2616,8244,2136,30150,3258,18219
5–9 Years,11019,35451,25962,37443,25680,7455,14625,3675,7611,10890,4056,10869,9579,17682,2796,8769,1974,29925,3294,18003
10–14 Years,11073,35364,24963,37353,25653,7398,14895,3588,7671,11211,4200,11022,9621,17172,2739,8910,2037,30189,3582,18177
15–19 Years,9627,36954,30015,36987,25755,6594,12987,3051,6849,10107,3978,11964,9366,20493,2601,7968,1827,32520,3372,22734
20–24 Years,7056,34794,40299,33867,24654,5649,10467,2499,6081,7956,3321,11748,8682,24486,1941,6063,1680,34125,2691,22617
25–29 Years,6654,31599,39219,29823,21324,5385,9801,2298,6024,7233,2955,9231,8001,20487,1668,6231,1620,29169,2508,16896
30–34 Years,6591,34068,35631,29625,20406,5289,10218,2283,6129,7419,2934,8619,8625,20226,1938,6705,1647,28578,2553,17067
35–39 Years,7902,35508,31203,29790,21474,5982,11859,2523,6738,8820,3204,9105,9405,20166,2217,8022,1860,30675,3063,17991
40–44 Years,9834,41358,32064,34104,24468,6870,14130,2883,7731,10440,3795,10575,10659,21582,2817,9954,2316,35994,3756,20415
45–49 Years,10629,39855,30480,33363,24141,6858,14052,2856,7503,10551,4185,10773,10203,20790,2844,10230,2565,35262,4023,20430
50–54 Years,11502,37254,28146,30945,24690,7032,14700,3048,8022,11190,4530,11526,10206,19110,3147,10848,2775,35298,4359,21615
55–59 Years,10914,30777,23853,25392,21999,6177,13602,2820,7197,9912,4188,9969,8430,15549,3012,9984,2421,30645,3936,19365
60–64 Years,10464,26910,20148,22044,19791,5625,12510,2532,6489,9528,3669,9336,7221,13623,2916,9594,2109,27453,3885,17274
65–69 Years,9330,22812,15096,17490,17133,4821,11607,2010,5481,8163,3285,8223,5964,11121,2565,8469,1779,22680,3366,14586
70–74 Years,7272,16854,11157,13044,13245,3837,9681,1524,4128,6222,2613,6639,4533,8310,1938,6285,1311,17319,2805,11367
75–79 Years,4836,11832,7776,8520,9405,2511,6978,1065,3297,4536,2064,4965,3210,5835,1407,4386,903,12630,2070,8322
80–84 Years,3399,8751,5880,6108,7230,1872,5304,855,2544,3462,1569,3714,2532,4566,1014,3222,663,10203,1650,6489
85 Years And Over,2925,8235,6381,5085,6009,1515,4581,672,2373,3147,1401,3339,2187,4227,936,3111,528,9363,1449,5853
