"date","week","incidence"
"2009-06-06",1,2
"2009-06-13",2,1
"2009-06-20",3,2
"2009-06-27",4,5
"2009-07-04",5,13
"2009-07-11",6,21
"2009-07-18",7,18
"2009-07-25",8,30
"2009-08-01",9,14
"2009-08-08",10,18
"2009-08-15",11,18
"2009-08-22",12,13
"2009-08-29",13,16
"2009-09-05",14,16
"2009-09-12",15,7
"2009-09-19",16,4
"2009-09-26",17,1
"2009-10-03",18,1
"2009-10-10",19,2
"2009-10-17",20,1
"2009-10-24",21,0
"2009-10-31",22,0
"2009-11-07",23,1
"2009-11-14",24,2
"2009-11-21",25,1
"2009-11-28",26,1
"2009-12-05",27,2
"2009-12-12",28,2
"2009-12-19",29,1
