id,incidence,cover,immigration,risk
Afghanistan,93.4450964,81,1197,111853.7804
Albania,2.84629981,98,134,381.4041746
Algeria,0.467751156,95,68,31.80707863
Andorra,0,98,23,0
Angola,214.1107536,97,161,34471.83132
Antigua and Barbuda,0,98,25,0
Argentina,0.048677197,94,11010,535.9359408
Armenia,0,97,87,0
Australia,8.63340564,94,1799655,15537151.63
Austria,4.253308129,NA,10393,44204.63138
Azerbaijan,0,97,204,0
Bahamas,0,91,32,0
Bahrain,0,99,448,0
Bangladesh,12.81290323,89,1946,24933.90968
Barbados,0,90,138,0
Belarus,1.063264221,98,195,207.3365231
Belgium,9.855334539,96,6472,63783.72514
Belize,0,96,89,0
Benin,28.65386529,72,3,85.96159586
Bhutan,1.347708895,95,271,365.2291105
Bolivia,0,84,266,0
Bosnia and Herzegovina,5.738132499,94,51,292.6447574
Botswana,3.493013972,99,278,971.0578842
Brazil,0.010050251,99,17878,179.678392
Brunei Darussalam,2.427184466,99,1197,2905.339806
Bulgaria,0.137400385,94,1138,156.3616378
Burkina Faso,447.2660996,87,46,20574.24058
Burundi,4.974619289,93,51,253.7055838
Cabo Verde,0,91,NA,NA
Cambodia,1.009081736,93,5743,5795.156408
Cameroon,28.06451613,82,31,870
Canada,0.287042884,98,75381,21637.57965
Central African Republic,31.16022099,65,NA,NA
Chad,9.640102828,69,21,202.4421594
Chile,0,90,9720,0
China,4.448201439,99,322076,1432658.927
Colombia,0.020962603,94,2256,47.29163173
Comoros,1.39275766,85,3,4.178272981
Congo,59.94927369,80,42,2517.869495
Cook Islands,0,97,NA,NA
Costa Rica,0,90,405,0
Cote d'Ivoire,6.905241935,94,68,469.5564516
Croatia,0.464360344,NA,2607,1210.587416
Cuba,0,99,339,0
Cyprus,0.885739593,86,419,371.1248893
Czech Republic,2.063789869,NA,7001,14448.59287
"Korea, Democratic People's Republic of",0,99,32,0
Democratic Republic of the Congo,1096.248383,84,NA,NA
Denmark,0.357270454,90,11236,4014.290818
Djibouti,824.4186047,83,6,4946.511628
Dominica,0,99,17,0
Dominican Republic,0,88,91,0
Ecuador,4.647560031,99,557,2588.690937
Egypt,3.035108149,93,1624,4929.015634
El Salvador,0,93,87,0
Equatorial Guinea,1616.847826,34,NA,NA
Eritrea,31.64247268,77,36,1139.129016
Estonia,3.098373354,94,675,2091.402014
Ethiopia,47.38959326,80,577,27343.79531
Fiji,0,90,151443,0
Finland,NA,97,5219,NA
France,NA,89,85948,NA
Gabon,1.224739743,71,42,51.4390692
Gambia,0,93,23,0
Georgia,7.11335475,93,140,995.869665
Germany,2.004830918,97,96308,193081.256
Ghana,63.58905622,89,370,23527.9508
Greece,0.269662921,99,3022,814.9213483
Grenada,0,94,24,0
Guatemala,0,93,246,0
Guinea,0.523971706,99,32,16.76709458
Guinea-Bissau,0,90,NA,NA
Guyana,0,99,32,0
Haiti,0,69,45,0
Honduras,0,93,40,0
Hungary,0.200481155,99,2593,519.8476343
Iceland,0,90,1000,0
India,15.05483871,85,107618,1620171.632
Indonesia,62.70850202,84,35352,2216870.964
Iran (Islamic Republic of),4.344185073,98,2506,10886.52779
Iraq,0.457624016,83,1481,677.7411679
Ireland,23.38286713,92,31396,734128.4965
Israel,27.60334903,96,6310,174177.1324
Italy,6.175576907,90,25208,155673.9427
Jamaica,0,93,288,0
Japan,1.795275591,96,106716,191584.6299
Jordan,0.428021116,98,772,330.4323013
Kazakhstan,3.380247065,96,585,1977.444533
Kenya,NA,93,1345,NA
Kiribati,0,91,1543,0
Kuwait,8.307692308,99,892,7410.461538
Kyrgyzstan,0,98,72,0
Lao People's Democratic Republic,4.814926271,72,1060,5103.821848
Latvia,1.45631068,90,510,742.7184466
Lebanon,1.936733376,98,293,567.4628793
Lesotho,87.23196881,60,12,1046.783626
Liberia,10.26252983,80,4,41.05011933
Libyan Arab Jamahiriya,51.99025183,98,66,3431.356621
Lithuania,0,93,631,0
Luxembourg,3.816793893,NA,227,866.4122137
Madagascar,0.089710236,85,43,3.857540145
Malawi,0.691562932,90,199,137.6210235
Malaysia,63.88508892,95,70366,4495338.167
Maldives,0,98,481,0
Mali,22.95677932,85,70,1606.974552
Malta,NA,93,652,NA
Marshall Islands,0,78,131,0
Mauritania,9.220231823,75,3,27.66069547
Mauritius,0,99,705,0
Mexico,0,99,6150,0
"Micronesia, Federated States of",0,91,50,0
Monaco,131.5789474,NA,36,4736.842105
Mongolia,0,99,454,0
Montenegro,0,90,46,0
Morocco,20.54057378,99,382,7846.499185
Mozambique,5.753283339,82,126,724.9137007
Myanmar,41.19552247,84,NA,NA
Namibia,38.06994245,76,363,13819.38911
Nauru,1100,96,115,126500
Nepal,122.370241,86,2652,324525.879
Netherlands,0.598300826,96,39151,23424.07563
New Zealand,15.24663677,92,NA,NA
Nicaragua,0,99,56,0
Niger,15.85358746,91,2,31.70717491
Nigeria,38.14792899,78,733,27962.43195
Niue,0,99,NA,NA
Norway,0.800961153,94,5594,4480.576692
Oman,3.922751961,99,1063,4169.885335
Pakistan,44.94972067,88,3304,148513.8771
Palau,0,91,71,0
Panama,0,98,335,0
Papua New Guinea,0,67,7795,0
Paraguay,0,74,111,0
Peru,0,94,2108,0
Philippines,15.88302812,85,39747,631302.7185
Poland,1.858103687,98,5238,9732.747115
Portugal,2.168992833,97,2357,5112.316107
Qatar,78.01072647,97,674,52579.22964
"Korea, Republic of Korea",0.040813828,99,NA,NA
Republic of Moldova,3.1303358,91,86,269.2088788
Romania,342.4500115,94,1913,655106.872
Russia,14.84615385,98,10483,155632.2308
Rwanda,6.545644964,99,56,366.556118
Saint Kitts and Nevis,0,95,17,0
Saint Lucia,0,99,10,0
Saint Vincent and the Grenadines,0,94,20,0
Samoa,5.291005291,85,70567,373370.3704
San Marino,32.25806452,87,17,548.3870968
Sao Tome and Principe,0,92,NA,NA
Saudi Arabia,10.39309955,98,7946,82583.569
Senegal,3.351304094,82,20,67.02608189
Serbia,0,87,894,0
Seychelles,0,98,175,0
Sierra Leone,113.3968891,88,7,793.7782238
Singapore,7.920045257,95,42580,337235.5271
Slovakia,0,99,1553,0
Slovenia,0.967117988,95,998,965.1837524
Solomon Islands,0,85,2831,0
Somalia,979.2054929,49,107,104774.9877
South Africa,0.610850227,99,45980,28086.89344
South Sudan,NA,70,NA,NA
Spain,25.75125655,97,15604,401822.6072
Sri Lanka,2.417290738,99,9400,22722.53294
Sudan,786.3997047,85,180,141551.9469
Sudan,229.1437021,85,180,41245.86638
Suriname,0,73,25,0
Swaziland,0,88,62,0
Sweden,3.154242456,97,15479,48824.51898
Switzerland,7.627860448,92,18431,140589.0959
Syrian Arab Republic,0.593878483,78,136,80.76747373
Tajikistan,1.997752528,95,25,49.94381321
Thailand,77.81687505,98,61358,4774687.819
The former Yugoslav Republic of Macedonia,3.323836657,96,NA,NA
Timor-Leste,14.36265709,73,509,7310.59246
Togo,35.82718651,72,2,71.65437302
Tonga,0,95,44477,0
Trinidad and Tobago,0,85,224,0
Tunisia,4.413793103,96,89,392.8275862
Turkey,4.716407422,96,4228,19940.97058
Turkmenistan,0,99,2,0
Tuvalu,0,98,883,0
Uganda,55.76954823,82,334,18627.02911
Ukraine,279.9472875,79,2733,765095.9367
United Arab Emirates,14.33847491,99,4715,67605.90919
United Kingdom,33.32112196,93,401737,13386327.57
United Republic of Tanzania,34.9078124,97,NA,NA
United States,0.172955975,92,316058,54664.1195
Uruguay,0,96,1490,0
Uzbekistan,NA,99,174,NA
Vanuatu,0,94,16261,0
Venezuela,0.033383408,87,498,16.62493741
Viet Nam,6.365919203,96,18574,118240.5833
Yemen,91.27117223,71,38,3468.304545
Zambia,63.6589698,95,534,33993.88988
Zimbabwe,0,97,2190,0
American Samoa,NA,NA,642,NA
Anguilla,NA,NA,NA,NA
Bermuda,NA,NA,84,NA
British Indian Ocean Territory,NA,NA,1,NA
Cape Verde,NA,NA,21,NA
Cayman Islands,NA,NA,84,NA
Democratic Republic of Congo,NA,NA,NA,NA
Gibraltar,NA,NA,NA,NA
Guam,NA,NA,NA,NA
Hong Kong,NA,NA,37323,NA
Kosovo - Republic of,NA,NA,NA,NA
Liechtenstein,NA,NA,100,NA
Macau,NA,NA,783,NA
Macedonia,NA,NA,NA,NA
Martinique,NA,NA,1,NA
Burma,NA,NA,1453,NA
Netherlands Antilles,NA,NA,1,NA
Palestine,NA,NA,112,NA
Puerto Rico,NA,NA,NA,NA
Reunion,NA,NA,21,NA
"Korea, Republic of",NA,NA,87419,NA
Taiwan,NA,NA,34275,NA
Tanzania,NA,NA,NA,NA
Tokelau,NA,NA,282,NA
United Nations,NA,NA,NA,NA
Holy See (Vatican City),NA,NA,9,NA
United States Virgin Islands,NA,NA,NA,NA
Yugoslavia,NA,NA,NA,NA
Antarctica,NA,NA,NA,NA
Aruba,NA,NA,NA,NA
Christmas Island,NA,NA,NA,NA
Cocos (Keeling) Islands,NA,NA,NA,NA
Curacao,NA,NA,NA,NA
Czechoslovakia,NA,NA,NA,NA
Faroe Islands,NA,NA,NA,NA
Falkland Islands (Malvinas),NA,NA,NA,NA
French Guiana,NA,NA,NA,NA
French Polynesia,NA,NA,NA,NA
French Southern and Antarctic Lands,NA,NA,NA,NA
"Germany, Democratic Republic of",NA,NA,NA,NA
Greenland,NA,NA,NA,NA
Guadeloupe,NA,NA,NA,NA
Kosovo,NA,NA,NA,NA
Mayotte,NA,NA,NA,NA
Montserrat,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA
Norfolk Island,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA
Pitcairn,NA,NA,NA,NA
South Georgia South Sandwich Islands,NA,NA,NA,NA
Saint Helena,NA,NA,NA,NA
Saint Martin,NA,NA,NA,NA
Saint Pierre and Miquelon,NA,NA,NA,NA
Turks and Caicos Islands,NA,NA,NA,NA
Union of Soviet Socialist Republics,NA,NA,NA,NA
United States Minor Outlying Islands,NA,NA,NA,NA
British Virgin Islands,NA,NA,NA,NA
Wallis and Futuna Islands,NA,NA,NA,NA
Western Sahara,NA,NA,NA,NA
"Yemen, Democratic",NA,NA,NA,NA
Yugoslavia/Serbia and Montenegro,NA,NA,NA,NA
