"id","incidence","cover","immigration","risk"
"Afghanistan",93.4450963956412,81,397,37097.7032690696
"Albania",2.84629981024668,98,34,96.7741935483871
"Algeria",0.467751156384803,95,48,22.4520555064706
"Andorra",0,98,23,0
"Angola",214.110753566111,97,1,214.110753566111
"Antigua and Barbuda",0,98,5,0
"Argentina",0.0486771971669871,94,7890,384.063085647528
"Armenia",0,97,27,0
"Australia",8.63340563991323,94,809775,6991116.05206074
"Austria",4.25330812854442,NA,7853,33401.2287334594
"Azerbaijan",0,97,44,0
"Bahamas",0,91,12,0
"Bahrain",0,99,148,0
"Bangladesh",12.8129032258065,89,1046,13402.2967741935
"Barbados",0,90,38,0
"Belarus",1.06326422115896,98,175,186.071238702818
"Belgium",9.85533453887884,96,5412,53337.0705244123
"Belize",0,96,9,0
"Benin",28.6538652870361,72,3,85.9615958611083
"Bhutan",1.34770889487871,95,171,230.458221024259
"Bolivia",0,84,66,0
"Bosnia and Herzegovina",5.73813249869588,94,11,63.1194574856547
"Botswana",3.49301397205589,99,58,202.594810379242
"Brazil",0.0100502512562814,99,14778,148.522613065327
"Brunei Darussalam",2.42718446601942,99,617,1497.57281553398
"Bulgaria",0.137400384721077,94,838,115.141522396263
"Burkina Faso",447.26609963548,87,6,2683.59659781288
"Burundi",4.9746192893401,93,31,154.213197969543
"Cabo Verde",0,91,NA,NA
"Cambodia",1.00908173562059,93,1723,1738.64783047427
"Cameroon",28.0645161290323,82,11,308.709677419355
"Canada",0.2870428842069,98,54981,15781.9048165796
"Central African Republic",31.1602209944751,65,NA,NA
"Chad",9.6401028277635,69,1,9.6401028277635
"Chile",0,90,7200,0
"China",4.44820143884892,99,256036,1138899.70359712
"Colombia",0.0209626027167533,94,1816,38.068086533624
"Comoros",1.39275766016713,85,3,4.17827298050139
"Congo",59.9492736914918,80,22,1318.88402121282
"Cook Islands",0,97,NA,NA
"Costa Rica",0,90,145,0
"Cote d'Ivoire",6.90524193548387,94,8,55.241935483871
"Croatia",0.464360343626654,NA,367,170.420246110982
"Cuba",0,99,39,0
"Cyprus",0.885739592559787,86,119,105.403011514615
"Czech Republic",2.06378986866792,NA,5921,12219.6998123827
"Korea, Democratic People's Republic of",0,99,12,0
"Democratic Republic of the Congo",1096.24838292367,84,NA,NA
"Denmark",0.357270453733476,90,10056,3592.71168274384
"Djibouti",824.418604651163,83,6,4946.51162790698
"Dominica",0,99,17,0
"Dominican Republic",0,88,51,0
"Ecuador",4.64756003098373,99,137,636.715724244771
"Egypt",3.03510814895568,93,504,1529.69450707366
"El Salvador",0,93,47,0
"Equatorial Guinea",1616.84782608696,34,NA,NA
"Eritrea",31.6424726798238,77,36,1139.12901647366
"Estonia",3.09837335398916,94,575,1781.56467854376
"Ethiopia",47.3895932584025,80,257,12179.1254674094
"Fiji",0,90,46723,0
"Finland",NA,97,4579,NA
"France",NA,89,71448,NA
"Gabon",1.22473974280465,71,2,2.44947948560931
"Gambia",0,93,3,0
"Georgia",7.11335474988527,93,20,142.267094997705
"Germany",2.0048309178744,97,83608,167619.903381643
"Ghana",63.5890562169834,89,130,8266.57730820784
