"id","incidence","cover","immigration","risk"
"Afghanistan",93.4450963956412,81,800,74756.077116513
"Albania",2.84629981024668,98,100,284.629981024668
"Algeria",0.467751156384803,95,20,9.35502312769607
"Andorra",0,98,0,0
"Angola",214.110753566111,97,160,34257.7205705778
"Antigua and Barbuda",0,98,20,0
"Argentina",0.0486771971669871,94,3120,151.872855161
"Armenia",0,97,60,0
"Australia",8.63340563991323,94,989880,8546035.57483731
"Austria",4.25330812854442,NA,2540,10803.4026465028
"Azerbaijan",0,97,160,0
"Bahamas",0,91,20,0
"Bahrain",0,99,300,0
"Bangladesh",12.8129032258065,89,900,11531.6129032258
"Barbados",0,90,100,0
"Belarus",1.06326422115896,98,20,21.2652844231792
"Belgium",9.85533453887884,96,1060,10446.6546112116
"Belize",0,96,80,0
"Benin",28.6538652870361,72,0,0
"Bhutan",1.34770889487871,95,100,134.770889487871
"Bolivia",0,84,200,0
"Bosnia and Herzegovina",5.73813249869588,94,40,229.525299947835
"Botswana",3.49301397205589,99,220,768.463073852295
"Brazil",0.0100502512562814,99,3100,31.1557788944724
"Brunei Darussalam",2.42718446601942,99,580,1407.76699029126
"Bulgaria",0.137400384721077,94,300,41.2201154163232
"Burkina Faso",447.26609963548,87,40,17890.6439854192
"Burundi",4.9746192893401,93,20,99.492385786802
"Cabo Verde",0,91,NA,NA
"Cambodia",1.00908173562059,93,4020,4056.50857719475
"Cameroon",28.0645161290323,82,20,561.290322580645
"Canada",0.2870428842069,98,20400,5855.67483782077
"Central African Republic",31.1602209944751,65,0,0
"Chad",9.6401028277635,69,20,192.80205655527
"Chile",0,90,2520,0
"China",4.44820143884892,99,66040,293759.223021583
"Colombia",0.0209626027167533,94,440,9.22354519537146
"Comoros",1.39275766016713,85,0,0
"Congo",59.9492736914918,80,20,1198.98547382984
"Cook Islands",0,97,71960,0
"Costa Rica",0,90,260,0
"Cote d'Ivoire",6.90524193548387,94,60,414.314516129032
"Croatia",0.464360343626654,NA,2240,1040.16716972371
"Cuba",0,99,300,0
"Cyprus",0.885739592559787,86,300,265.721877767936
"Czech Republic",2.06378986866792,NA,1080,2228.89305816135
"Korea, Democratic People's Republic of",0,99,20,0
"Democratic Republic of the Congo",1096.24838292367,84,40,43849.935316947
"Denmark",0.357270453733476,90,1180,421.579135405502
"Djibouti",824.418604651163,83,0,0
"Dominica",0,99,0,0
"Dominican Republic",0,88,40,0
"Ecuador",4.64756003098373,99,420,1951.97521301317
"Egypt",3.03510814895568,93,1120,3399.32112683036
"El Salvador",0,93,40,0
"Equatorial Guinea",1616.84782608696,34,0,0
"Eritrea",31.6424726798238,77,0,0
"Estonia",3.09837335398916,94,100,309.837335398916
"Ethiopia",47.3895932584025,80,320,15164.6698426888
"Fiji",0,90,104720,0
"Finland",NA,97,640,NA
"France",NA,89,14500,NA
"Gabon",1.22473974280465,71,40,48.9895897121862
"Gambia",0,93,20,0
"Georgia",7.11335474988527,93,120,853.602569986232
"Germany",2.0048309178744,97,12700,25461.3526570048
"Ghana",63.5890562169834,89,240,15261.373492076
"Greece",0.269662921348315,99,2160,582.47191011236
"Grenada",0,94,20,0
"Guatemala",0,93,140,0
"Guinea",0.523971705527902,99,20,10.479434110558
"Guinea-Bissau",0,90,0,0
"Guyana",0,99,20,0
"Haiti",0,69,40,0
"Honduras",0,93,20,0
"Hungary",0.200481154771451,99,680,136.327185244587
"Iceland",0,90,260,0
"India",15.0548387096774,85,38580,580815.677419355
"Indonesia",62.7085020242915,84,19660,1232849.14979757
"Iran (Islamic Republic of)",4.34418507275201,98,740,3214.69695383649
"Iraq",0.457624016108365,83,700,320.336811275856
"Ireland",23.3828671328671,92,6360,148715.034965035
"Israel",27.6033490319205,96,1460,40300.8895866039
"Italy",6.17557690728423,90,11820,72995.3190440995
"Jamaica",0,93,140,0
"Japan",1.79527559055118,96,20040,35977.3228346457
"Jordan",0.428021115708375,98,500,214.010557854187
"Kazakhstan",3.38024706533096,96,240,811.25929567943
"Kenya",NA,93,900,NA
"Kiribati",0,91,540,0
"Kuwait",8.30769230769231,99,300,2492.30769230769
"Kyrgyzstan",0,98,40,0
"Lao People's Democratic Republic",4.81492627144147,72,800,3851.94101715318
"Latvia",1.45631067961165,90,40,58.252427184466
"Lebanon",1.93673337637185,98,140,271.142672692059
"Lesotho",87.2319688109162,60,0,0
"Liberia",10.2625298329356,80,0,0
"Libyan Arab Jamahiriya",51.9902518277823,98,20,1039.80503655565
"Lithuania",0,93,60,0
"Luxembourg",3.81679389312977,NA,0,0
"Madagascar",0.0897102359379205,85,20,1.79420471875841
"Malawi",0.691562932226833,90,120,82.9875518672199
"Malaysia",63.8850889192886,95,19860,1268757.86593707
"Maldives",0,98,320,0
"Mali",22.956779318702,85,60,1377.40675912212
"Malta",NA,93,340,NA
"Marshall Islands",0,78,80,0
"Mauritania",9.22023182297155,75,0,0
"Mauritius",0,99,340,0
"Mexico",0,99,2120,0
"Micronesia, Federated States of",0,91,0,0
"Monaco",131.578947368421,NA,20,2631.57894736842
"Mongolia",0,99,280,0
"Montenegro",0,90,40,0
"Morocco",20.540573783094,99,300,6162.1721349282
"Mozambique",5.75328333928501,82,100,575.328333928501
"Myanmar",41.1955224728678,84,NA,NA
"Namibia",38.0699424524126,76,240,9136.78618857902
"Nauru",1100,96,40,44000
"Nepal",122.370240955085,86,1540,188450.171070831
"Netherlands",0.598300825655139,96,5720,3422.2807227474
"New Zealand",15.2466367713004,92,0,0
"Nicaragua",0,99,40,0
"Niger",15.8535874570146,91,0,0
"Nigeria",38.1479289940828,78,400,15259.1715976331
"Niue",0,99,3240,0
"Norway",0.800961153384061,94,1080,865.038045654786
"Oman",3.92275196137598,99,540,2118.28605914303
"Pakistan",44.9497206703911,88,1300,58434.6368715084
"Palau",0,91,40,0
"Panama",0,98,240,0
"Papua New Guinea",0,67,6140,0
"Paraguay",0,74,40,0
"Peru",0,94,1500,0
"Philippines",15.8830281158551,85,15220,241739.687923315
"Poland",1.85810368741985,98,820,1523.64502368428
"Portugal",2.16899283289325,97,540,1171.25612976235
"Qatar",78.0107264748903,97,560,43686.0068259386
"Korea, Republic of Korea",0.0408138277248332,99,NA,NA
"Republic of Moldova",3.13033579965851,91,40,125.21343198634
"Romania",342.450011491611,94,480,164376.005515973
"Russia",14.8461538461538,98,2380,35333.8461538461
"Rwanda",6.54564496421714,99,40,261.825798568686
"Saint Kitts and Nevis",0,95,0,0
"Saint Lucia",0,99,0,0
"Saint Vincent and the Grenadines",0,94,0,0
"Samoa",5.29100529100529,85,46020,243492.063492063
"San Marino",32.258064516129,87,0,0
"Sao Tome and Principe",0,92,0,0
"Saudi Arabia",10.3930995475113,98,2480,25774.8868778281
"Senegal",3.35130409441935,82,0,0
"Serbia",0,87,620,0
"Seychelles",0,98,80,0
"Sierra Leone",113.396889111892,88,0,0
"Singapore",7.92004525740147,95,17120,135591.174806713
"Slovakia",0,99,140,0
"Slovenia",0.967117988394584,95,80,77.3694390715667
"Solomon Islands",0,85,1380,0
"Somalia",979.205492888671,49,20,19584.1098577734
"South Africa",0.610850227159928,99,15380,9394.8764937197
"South Sudan",NA,70,0,NA
"Spain",25.7512565501016,97,5500,141631.911025559
"Sri Lanka",2.41729073845862,99,4060,9814.200398142
"Sudan",786.399704742572,85,100,78639.9704742573
"Sudan",229.143702110499,85,100,22914.3702110499
"Suriname",0,73,20,0
"Swaziland",0,88,60,0
"Sweden",3.15424245610346,97,1760,5551.46672274209
"Switzerland",7.62786044766788,92,3580,27307.740402651
"Syrian Arab Republic",0.59387848332572,78,20,11.8775696665144
"Tajikistan",1.99775252840554,95,0,0
"Thailand",77.8168750467919,98,41100,3198273.56442315
"The former Yugoslav Republic of Macedonia",3.32383665716999,96,200,664.767331433998
"Timor-Leste",14.3626570915619,73,400,5745.06283662478
"Togo",35.827186512118,72,0,0
"Tonga",0,95,17760,0
"Trinidad and Tobago",0,85,100,0
"Tunisia",4.41379310344828,96,60,264.827586206897
"Turkey",4.71640742192251,96,3060,14432.2067110829
"Turkmenistan",0,99,0,0
"Tuvalu",0,98,220,0
"Uganda",55.769548230892,82,240,13384.6915754141
"Ukraine",279.947287502745,79,360,100781.023500988
"United Arab Emirates",14.3384749076689,99,4220,60508.3641103628
"United Kingdom",33.3211219597662,93,95560,3184166.41447526
"United Republic of Tanzania",34.9078124019003,97,640,22340.9999372162
"United States",0.172955974842767,92,121620,21034.9056603774
"Uruguay",0,96,300,0
"Uzbekistan",NA,99,60,NA
"Vanuatu",0,94,12520,0
"Venezuela",0.0333834084460023,87,100,3.33834084460023
"Viet Nam",6.36591920348914,96,12920,82247.6761090797
"Yemen",91.2711722287439,71,20,1825.42344457488
"Zambia",63.6589698046181,95,340,21644.0497335702
"Zimbabwe",0,97,860,0
"American Samoa",NA,NA,540,NA
"Anguilla",NA,NA,20,NA
"Bermuda",NA,NA,80,NA
"British Indian Ocean Territory",NA,NA,0,NA
