"id","incidence","cover","immigration","risk"
"Afghanistan",93.4450963956412,81,1197,111853.780385583
"Albania",2.84629981024668,98,134,381.404174573055
"Algeria",0.467751156384803,95,68,31.8070786341666
"Andorra",0,98,23,0
"Angola",214.110753566111,97,161,34471.8313241439
"Antigua and Barbuda",0,98,25,0
"Argentina",0.0486771971669871,94,11010,535.935940808528
"Armenia",0,97,87,0
"Australia",8.63340563991323,94,1799655,15537151.626898
"Austria",4.25330812854442,NA,10393,44204.6313799622
"Azerbaijan",0,97,204,0
"Bahamas",0,91,32,0
"Bahrain",0,99,448,0
"Bangladesh",12.8129032258065,89,1946,24933.9096774194
"Barbados",0,90,138,0
"Belarus",1.06326422115896,98,195,207.336523125997
"Belgium",9.85533453887884,96,6472,63783.7251356239
"Belize",0,96,89,0
"Benin",28.6538652870361,72,3,85.9615958611083
"Bhutan",1.34770889487871,95,271,365.229110512129
"Bolivia",0,84,266,0
"Bosnia and Herzegovina",5.73813249869588,94,51,292.64475743349
"Botswana",3.49301397205589,99,278,971.057884231537
"Brazil",0.0100502512562814,99,17878,179.678391959799
"Brunei Darussalam",2.42718446601942,99,1197,2905.33980582524
"Bulgaria",0.137400384721077,94,1138,156.361637812586
"Burkina Faso",447.26609963548,87,46,20574.2405832321
"Burundi",4.9746192893401,93,51,253.705583756345
"Cabo Verde",0,91,NA,NA
"Cambodia",1.00908173562059,93,5743,5795.15640766902
"Cameroon",28.0645161290323,82,31,870
"Canada",0.2870428842069,98,75381,21637.5796544004
"Central African Republic",31.1602209944751,65,NA,NA
"Chad",9.6401028277635,69,21,202.442159383033
"Chile",0,90,9720,0
"China",4.44820143884892,99,322076,1432658.92661871
"Colombia",0.0209626027167533,94,2256,47.2916317289955
"Comoros",1.39275766016713,85,3,4.17827298050139
"Congo",59.9492736914918,80,42,2517.86949504266
"Cook Islands",0,97,NA,NA
"Costa Rica",0,90,405,0
"Cote d'Ivoire",6.90524193548387,94,68,469.556451612903
"Croatia",0.464360343626654,NA,2607,1210.58741583469
"Cuba",0,99,339,0
"Cyprus",0.885739592559787,86,419,371.124889282551
"Czech Republic",2.06378986866792,NA,7001,14448.5928705441
"Korea, Democratic People's Republic of",0,99,32,0
"Democratic Republic of the Congo",1096.24838292367,84,NA,NA
"Denmark",0.357270453733476,90,11236,4014.29081814934
"Djibouti",824.418604651163,83,6,4946.51162790698
"Dominica",0,99,17,0
"Dominican Republic",0,88,91,0
"Ecuador",4.64756003098373,99,557,2588.69093725794
"Egypt",3.03510814895568,93,1624,4929.01563390402
"El Salvador",0,93,87,0
"Equatorial Guinea",1616.84782608696,34,NA,NA
"Eritrea",31.6424726798238,77,36,1139.12901647366
"Estonia",3.09837335398916,94,675,2091.40201394268
"Ethiopia",47.3895932584025,80,577,27343.7953100982
"Fiji",0,90,151443,0
"Finland",NA,97,5219,NA
"France",NA,89,85948,NA
"Gabon",1.22473974280465,71,42,51.4390691977955
"Gambia",0,93,23,0
"Georgia",7.11335474988527,93,140,995.869664983937
"Germany",2.0048309178744,97,96308,193081.256038647
"Ghana",63.5890562169834,89,370,23527.9508002838
"Greece",0.269662921348315,99,3022,814.921348314607
"Grenada",0,94,24,0
"Guatemala",0,93,246,0
"Guinea",0.523971705527902,99,32,16.7670945768928
"Guinea-Bissau",0,90,NA,NA
"Guyana",0,99,32,0
"Haiti",0,69,45,0
"Honduras",0,93,40,0
"Hungary",0.200481154771451,99,2593,519.847634322374
"Iceland",0,90,1000,0
"India",15.0548387096774,85,107618,1620171.63225806
