GHO,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Display Value,Numeric Value,Low Value,High Value,Comments
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1978,South-East Asia,Lower-middle-income,India,65.89,65.89,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1979,Americas,Upper-middle-income,Panama,7.98,7.98,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1980,Americas,Upper-middle-income,Colombia,15.45,15.45,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1980,Africa,Low-income,Madagascar,85.89,85.89,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1981,Americas,Upper-middle-income,Costa Rica,21.38,21.38,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1981,Americas,Upper-middle-income,Brazil,13.64,13.64,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1981,Western Pacific,Lower-middle-income,China,84.02,84.02,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1981,Americas,Upper-middle-income,Uruguay,0,0,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1981,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),3.27,3.27,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1981,South-East Asia,Lower-middle-income,Thailand,21.92,21.92,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1982,Africa,Low-income,Ethiopia,66.22,66.22,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1982,Americas,Upper-middle-income,Brazil,13.66,13.66,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1983,South-East Asia,Lower-middle-income,India,55.51,55.51,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1983,Americas,Upper-middle-income,Brazil,16.65,16.65,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1984,South-East Asia,Low-income,Bangladesh,60.57,60.57,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1984,Americas,Upper-middle-income,Brazil,15.5,15.5,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1984,South-East Asia,Lower-middle-income,Indonesia,62.84,62.84,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1984,Western Pacific,Upper-middle-income,Malaysia,3.22,3.22,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1984,Americas,Upper-middle-income,Mexico,12.78,12.78,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1984,Western Pacific,Lower-middle-income,China,69.43,69.43,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Europe,Upper-middle-income,Poland,0.13,0.13,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Africa,Lower-middle-income,C?te d'Ivoire,9.53,9.53,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Eastern Mediterranean,Lower-middle-income,Tunisia,8.65,8.65,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Eastern Mediterranean,Lower-middle-income,Morocco,10.29,10.29,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Western Pacific,Lower-middle-income,Philippines,34.9,34.9,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Americas,Upper-middle-income,Brazil,13.52,13.52,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,Africa,Low-income,Rwanda,63.33,63.33,,,
WHS9_90,Population living on <$1 (PPP int. $) a day (%),Published,1985,South-East Asia,Lower-middle-income,Sri Lanka,19.96,19.96,,,
