"mydate","time","res"
"2008-07",1,193102
"2008-08",2,173963
"2008-09",3,167721
"2008-10",4,189058
"2008-11",5,224157
"2008-12",6,275174
"2009-01",7,269807
"2009-02",8,265211
"2009-03",9,222749
"2009-04",10,194977
"2009-05",11,146198
"2009-06",12,141147
"2009-07",13,193675
"2009-08",14,172400
"2009-09",15,180049
"2009-10",16,199322
"2009-11",17,223022
"2009-12",18,289456
"2010-01",19,281264
"2010-02",20,273374
"2010-03",21,238244
"2010-04",22,191337
"2010-05",23,147900
"2010-06",24,151343
"2010-07",25,203069
"2010-08",26,179965
"2010-09",27,183311
"2010-10",28,198986
"2010-11",29,230573
"2010-12",30,293138
"2011-01",31,291238
"2011-02",32,275966
"2011-03",33,212787
"2011-04",34,194447
"2011-05",35,153060
"2011-06",36,140306
"2011-07",37,194548
"2011-08",38,189570
"2011-09",39,221373
"2011-10",40,219180
"2011-11",41,231596
"2011-12",42,304397
"2012-01",43,293934
"2012-02",44,268402
"2012-03",45,232712
"2012-04",46,197345
"2012-05",47,145407
"2012-06",48,154313
"2012-07",49,193457
"2012-08",50,182175
"2012-09",51,185378
"2012-10",52,195262
"2012-11",53,230720
"2012-12",54,301695
"2013-01",55,286985
"2013-02",56,286513
"2013-03",57,257833
"2013-04",58,201393
"2013-05",59,160417
"2013-06",60,163937
"2013-07",61,201361
"2013-08",62,197731
"2013-09",63,197975
"2013-10",64,204608
"2013-11",65,250522
"2013-12",66,321616
"2014-01",67,316392
"2014-02",68,307429
"2014-03",69,251114
"2014-04",70,218829
"2014-05",71,171177
