Countries,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Afghanistan,0,27,0,0,72,0,56,104,0,56,26,31,64,0,56,78,44,22,54,0,0,54,54,0,66,0,60,112,24,96,56,104,78,0,29,33,34,58,34,168,72,72,60,100,60,60,40,20,80,20,120,40,100,180,40,0,40,60,60,60,80,60,160,80,120,80,20,140,160,60,60,20,20,20,40,80,100,40,30920
Albania,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,20,0,0,20,0,40,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,24,24,0,0,26,0,0,0,34,0,34,28,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,20,20,20,20,0,20,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27140
Angola,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,44,27,25,25,27,0,0,33,0,0,28,0,0,0,0,26,0,0,0,0,0,0,0,0,24,0,0,40,0,0,0,0,20,0,20,20,20,40,20,20,0,0,0,0,0,40,40,40,0,0,40,40,20,20,0,20,0,0,20,40,20,180
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,27,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,27,31,0,58,0,0,0,0,0,0,26,0,29,0,34,29,34,0,0,0,0,0,0,0,60,0,20,60,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,60,0,20,40,0,0,0,0,142880
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,25,0,0,31,0,29,30,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,24600
Argentina,132,216,232,168,144,184,84,260,135,252,312,310,160,324,252,364,176,264,378,300,500,405,648,372,198,348,420,392,312,288,364,286,468,261,435,396,170,261,306,308,408,96,320,300,100,300,340,340,100,340,420,340,240,180,100,80,800,140,180,200,120,180,240,340,240,80,160,180,500,40,260,280,100,220,320,120,180,120,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
